Symbol: BWX,,,,,Study: VOL (LikeMain)
Date Time,Open,High,Low,Close,Volume
2007-10-05,25.85,25.975,25.85,25.95,12000
2007-10-08,26,26.17,26,26.16,48800
2007-10-09,25.99,26.17,25.98,26.14,125400
2007-10-10,26.145,26.235,26.145,26.15,64600
2007-10-11,26.055,26.1,26.005,26.025,53200
2007-10-12,26.01,26.02,25.925,25.94,64600
2007-10-15,25.965,25.97,25.875,25.875,82600
2007-10-16,25.885,25.9,25.86,25.885,40400
2007-10-17,25.94,25.98,25.935,25.975,88800
2007-10-18,26.19,26.22,26.125,26.175,71000
2007-10-19,26.21,26.29,26.17,26.27,449800
2007-10-22,26.255,26.255,26.125,26.165,70200
2007-10-23,26.3,26.305,26.21,26.275,68200
2007-10-24,26.35,26.39,26.265,26.375,146200
2007-10-25,26.485,26.485,26.425,26.445,60000
2007-10-26,26.4,26.535,26.4,26.53,76200
2007-10-29,26.55,26.605,26.525,26.59,377400
2007-10-30,26.55,26.575,26.54,26.55,91600
2007-10-31,26.5,26.63,26.485,26.575,74000
2007-11-01,26.485,26.55,26.44,26.525,52200
2007-11-02,26.65,26.73,26.625,26.73,148600
2007-11-05,28.065,28.065,26.57,26.665,144800
2007-11-06,26.74,26.775,26.74,26.755,395000
2007-11-07,28.095,28.095,27,27,277400
2007-11-08,27.05,27.13,27.045,27.11,252000
2007-11-09,27.235,27.235,27.1,27.2,212600
2007-11-12,28.015,28.015,27.155,27.225,172400
2007-11-13,27.075,27.075,26.965,27.015,305400
2007-11-14,27.825,27.825,26.985,27.1,166000
2007-11-15,27.09,27.1,27.06,27.075,77400
2007-11-16,27.075,27.15,27.07,27.08,102600
2007-11-19,27.89,27.89,26.965,27.19,312400
2007-11-20,27.275,27.45,27.225,27.3,174800
2007-11-21,27.5,27.5,27.35,27.445,278400
2007-11-23,27.42,27.425,27.4,27.415,73800
2007-11-26,28.235,28.235,27.38,27.56,202400
2007-11-27,27.75,27.75,27.375,27.4,239399
2007-11-28,27.3,27.3,27.06,27.18,147600
2007-11-29,27.175,27.23,27.125,27.21,78200
2007-11-30,27.21,27.21,26.9,27.005,135600
2007-12-03,27.73,27.73,27,27.085,184600
2007-12-04,27.225,27.225,27.115,27.21,97200
2007-12-05,27.125,27.35,26.9,26.935,240600
2007-12-06,26.965,26.965,26.865,26.89,114000
2007-12-07,26.835,26.84,26.71,26.795,105600
2007-12-10,26.605,26.82,26.605,26.81,125000
2007-12-11,26.965,27.04,26.75,26.97,148000
2007-12-12,27.37,27.37,26.705,26.81,52800
2007-12-13,27.39,27.39,26.61,26.66,148400
2007-12-14,26.44,26.445,26.24,26.3,148400
2007-12-17,26.155,26.3,26.155,26.26,172000
2007-12-18,26.26,26.345,26.245,26.3,50600
2007-12-19,26.325,26.365,26.2,26.355,140000
2007-12-20,26.3,26.355,26.23,26.31,60200
2007-12-21,26.32,26.33,26.09,26.275,161200
2007-12-24,26.31,26.33,26.25,26.325,53000
2007-12-26,26.3,26.45,26.255,26.45,238599
2007-12-27,26.425,26.56,26.355,26.56,112800
2007-12-28,26.695,26.71,26.58,26.71,163400
2007-12-31,26.84,26.9,26.505,26.9,433400
2008-01-02,26.825,27.085,26.825,27.065,143600
2008-01-03,27.075,27.16,27.05,27.145,220400
2008-01-04,27.24,27.3,27.155,27.21,153000
2008-01-07,27.125,27.155,27.075,27.15,298800
2008-01-08,27.13,27.47,27,27.12,125200
2008-01-09,27.205,27.205,26.905,27.02,262600
2008-01-10,26.96,27.29,26.96,27.25,374200
2008-01-11,27.25,27.345,27.11,27.24,72800
2008-01-14,27.485,27.495,27.29,27.47,340400
2008-01-15,27.625,27.63,27.375,27.455,139200
2008-01-16,27.39,27.515,27.275,27.34,131400
2008-01-17,27.31,27.37,27.25,27.34,633400
2008-01-18,27.36,27.36,27.195,27.36,224800
2008-01-22,27.415,27.415,26.755,27.185,171000
2008-01-23,27.4,27.4,27.24,27.305,167000
2008-01-24,27.38,27.38,27.25,27.36,174000
2008-01-25,27.25,27.34,27.2,27.34,124800
2008-01-28,27.41,27.46,27.29,27.395,272200
2008-01-29,27.415,27.415,27.275,27.385,78600
2008-01-30,27.36,27.575,27.235,27.535,161000
2008-01-31,27.54,27.575,27.385,27.465,143400
2008-02-01,27.62,27.62,27.4,27.535,256600
2008-02-04,27.315,27.505,27.315,27.495,226000
2008-02-05,27.325,27.475,27.25,27.3,183600
2008-02-06,27.325,27.33,27.25,27.31,312200
2008-02-07,27.2,27.21,27.025,27.13,200000
2008-02-08,27.05,27.2,27.05,27.185,226599
2008-02-11,27.21,27.33,27.13,27.33,678200
2008-02-12,27.21,27.26,27.18,27.25,398400
2008-02-13,27.11,27.25,27.09,27.195,1144400
2008-02-14,27.125,27.22,27.05,27.195,135200
2008-02-15,27.3,27.39,27.245,27.31,513600
2008-02-19,27.3,27.41,27.135,27.2,250599
2008-02-20,27.075,27.2,27.05,27.19,173200
2008-02-21,27.175,27.37,27.05,27.345,255399
2008-02-22,27.36,27.485,27.265,27.485,358600
2008-02-25,27.35,27.395,27.275,27.32,354400
2008-02-26,27.375,27.555,27.3,27.53,307400
2008-02-27,27.795,27.83,27.715,27.77,464399
2008-02-28,27.825,28.065,27.825,28.03,352200
2008-02-29,28.12,28.28,28.11,28.245,854000
2008-03-03,28.26,28.35,28.125,28.23,1037000
2008-03-04,28.22,28.27,28.105,28.195,915200
2008-03-05,28.185,28.275,28.14,28.245,1209600
2008-03-06,28.255,28.43,28.255,28.42,367600
2008-03-07,28.45,28.525,28.33,28.395,267800
2008-03-10,28.44,28.47,28.37,28.445,452200
2008-03-11,28.39,28.41,28.215,28.31,248000
2008-03-12,28.525,28.78,28.29,28.78,721800
2008-03-13,28.93,28.945,28.78,28.86,719600
