Symbol: EWJ,,,,,Study: VOL (LikeMain)
Date Time,Open,High,Low,Close,Volume
1999-12-31,64.52,65.24,64.24,65.24,67600
2000-01-03,66,66.24,64.52,64.76,122625
2000-01-04,63.52,63.76,62.52,63,298000
2000-01-05,60.76,62,60.52,61.24,207700
2000-01-06,59.24,59.24,58.52,58.76,262875
2000-01-07,59.24,60,59.24,60,122650
2000-01-10,60.76,61,60.52,61,205300
2000-01-11,61,61.24,60.24,60.52,131950
2000-01-12,60.76,60.76,60,60,122025
2000-01-13,60.76,61.24,60.76,61,98025
2000-01-14,61.24,61.52,61,61.52,130400
2000-01-18,62.52,62.52,60.76,61,158450
2000-01-19,60.52,60.76,59.76,60.52,382075
2000-01-20,60.24,60.52,59.52,60,98350
2000-01-21,60.52,60.76,59.76,59.76,168150
2000-01-24,60.76,61,59,59.52,154575
2000-01-25,60.24,60.24,59.24,60.24,92675
2000-01-26,60.76,61.24,60.52,61,79825
2000-01-27,61.76,62.24,60.52,60.52,105100
2000-01-28,62.24,62.24,59.76,60,77500
2000-01-31,61,61.52,60.76,61.52,111500
2000-02-01,61.24,61.52,60.76,61.52,180450
2000-02-02,62,62,61.24,62,93650
2000-02-03,62.24,63,62,63,179000
2000-02-04,63.76,64.24,63.52,64,122575
2000-02-07,63.52,63.52,62.76,63,84850
2000-02-08,62.52,62.76,61.76,62,95400
2000-02-09,62.24,62.52,61.76,62,129150
2000-02-10,62.52,62.76,61.76,62,77675
2000-02-11,61.76,62.24,61.24,61.52,112525
2000-02-14,62,62.52,60.52,62.52,90725
2000-02-15,61,61,60,60.52,118874
2000-02-16,60.52,60.76,60,60.24,144875
2000-02-17,61.24,61.52,60.52,60.76,69175
2000-02-18,60.24,61,59.52,59.76,133650
2000-02-22,58,58.76,57.76,58.76,218650
2000-02-23,58.52,58.76,58,58.24,174600
2000-02-24,59,59.52,58.52,58.52,187925
2000-02-25,59.76,60,59.24,59.24,159425
2000-02-28,60.76,60.76,59.76,60.24,199825
2000-02-29,60.24,60.76,60,60.76,230650
2000-03-01,61.24,62,61,62,88100
2000-03-02,62,62,60.76,60.76,122700
2000-03-03,60.76,61.52,60.76,61.24,73225
2000-03-06,59.52,62,58.76,59,198525
2000-03-07,60.52,60.76,59.52,59.76,221275
2000-03-08,60.24,60.76,60,60.76,61925
2000-03-09,60,60.24,59.52,60.24,58425
2000-03-10,59.52,60,59.52,59.76,80425
2000-03-13,57.52,57.76,56.76,56.76,244975
2000-03-14,58,58.24,57.76,57.76,153750
2000-03-15,57.52,58.52,57.52,58.52,187375
2000-03-16,60,60.76,59.76,60.76,197150
2000-03-17,60.52,60.52,59.76,60,185625
2000-03-20,60,60.52,59.76,60.52,156750
2000-03-21,59.76,60.76,59.76,60.12,131175
2000-03-22,59.24,60,59.24,59.76,273825
2000-03-23,59.24,60,59.24,59.76,658625
2000-03-24,60.24,60.24,59.52,59.76,197475
2000-03-27,60.76,60.76,60,60.52,152225
2000-03-28,62,62.76,62,62,112225
2000-03-29,64,64.52,63.76,64,114350
2000-03-30,63.52,64,63,63.52,101675
2000-03-31,65.24,66,65,66,88875
2000-04-03,64.76,65.76,64.76,65.24,148450
2000-04-04,64.52,64.52,62.76,63.52,151150
2000-04-05,63.24,64,63.24,63.76,50575
2000-04-06,63.24,63.52,62.52,63.52,50875
2000-04-07,63.52,63.76,63,63.76,39350
2000-04-10,63.76,63.76,63,63.52,86425
2000-04-11,63.24,63.24,62.52,63,57675
2000-04-12,63.76,64,63,63.52,147125
2000-04-13,62.52,62.76,62,62.52,89550
2000-04-14,61.76,61.88,60.52,60.52,150975
2000-04-17,58.76,60.52,58.76,60.52,181575
2000-04-18,60.52,61,60.24,60.76,71525
2000-04-19,61,61.24,60.24,60.24,71950
2000-04-20,60.76,61.52,60.76,61.24,129200
2000-04-24,61.76,61.76,60.76,61,70400
2000-04-25,62,62.76,61.76,62.76,64475
2000-04-26,62.24,62.24,61.24,61.52,83800
2000-04-27,60.52,61.24,60.24,60.76,71350
2000-04-28,61.24,61.24,60.52,61,64750
2000-05-01,61.52,62.24,61.52,62.24,54575
2000-05-02,62,62.24,61.52,61.52,52450
2000-05-03,61.52,61.76,60.52,60.76,33225
2000-05-04,61,61.76,61,61.52,55350
2000-05-05,61.24,62,61,61.52,39100
2000-05-08,61,61.24,61,61,34825
2000-05-09,60.52,60.76,60,60.24,71950
2000-05-10,60,60.52,59.76,59.76,79275
2000-05-11,58.76,59.52,58.76,59,73150
2000-05-12,59.52,60.52,59.24,60,76100
2000-05-15,59.76,60,59,59.76,56875
2000-05-16,60,60.52,59.76,60,134825
2000-05-17,58.76,59,58.52,58.52,49900
2000-05-18,59,59.24,58.52,58.76,81900
2000-05-19,58.24,58.52,57.76,58,87875
2000-05-22,57,57,55.24,56.52,759425
2000-05-23,56.76,57,56.52,56.52,312225
2000-05-24,56.76,57.52,56.76,57.52,73925
2000-05-25,57.76,58.24,57,57,39875
2000-05-26,57,57.76,56.76,57.52,64875
2000-05-30,58.24,59.24,58,59,166750
2000-05-31,57.24,57.76,57,57.52,154750
2000-06-01,57.52,58.24,57.24,58.24,52675
2000-06-02,59,60,59,60,71475
2000-06-05,60.24,60.24,59.76,60,74950
2000-06-06,60,60.52,60,60.24,36200
2000-06-07,60.24,60.52,60,60.52,80725
2000-06-08,60.52,60.52,60,60,72525
2000-06-09,60,60,59.24,59.52,31200
2000-06-12,60,60.24,59.24,59.24,61350
2000-06-13,59.52,59.76,59,59.24,95000
2000-06-14,58.52,58.76,58,58.52,68800
2000-06-15,57.76,57.76,56.76,57.52,60249
2000-06-16,57.52,58,57.24,57.24,49125
2000-06-19,58.52,59,58.24,59,119200
2000-06-20,59.76,60,59.24,59.76,54350
2000-06-21,60,60.52,59.76,60,78275
2000-06-22,60.76,60.76,60.24,60.52,42175
2000-06-23,60.24,60.52,59.52,59.52,116025
2000-06-26,59.76,59.76,59,59.52,80125
2000-06-27,60.24,60.52,60,60.24,51100
2000-06-28,60.52,61,60,61,172475
2000-06-29,60.76,64.76,60.76,64.76,67125
2000-06-30,60.52,61,60.52,60.76,68650
2000-07-03,61,61.24,60.76,61.24,34175
2000-07-05,60.76,60.76,59.76,59.76,50400
2000-07-06,59.76,60.24,59.52,60.24,99100
2000-07-07,60.24,60.52,60,60.52,57900
2000-07-10,60.52,61,60.52,60.76,70450
2000-07-11,60.52,61,60.24,60.76,40575
2000-07-12,60.24,60.24,59.52,60.24,74000
2000-07-13,59.24,59.52,58.24,59,171175
2000-07-14,59,59.24,58.52,59,38550
2000-07-17,58.76,58.76,58.24,58.76,64200
2000-07-18,57,57.24,56.76,57,69450
2000-07-19,57,57.24,56.24,56.52,61649
2000-07-20,56.52,57.76,56.24,57.76,182600
2000-07-21,55.76,56.76,55.76,56,61275
2000-07-24,56,56,55,55,68475
2000-07-25,55.52,56,55,55.76,115425
2000-07-26,55.24,55.52,54.76,55.24,45150
2000-07-27,54,54.24,53.76,54.24,73600
2000-07-28,53.52,54,52,52.76,129250
2000-07-31,53.76,54.24,53.52,54,87050
2000-08-01,54.52,55,54,54.52,85975
2000-08-02,54.24,55.24,54.24,54.52,49350
2000-08-03,53.76,54.24,53.24,54.24,103950
2000-08-04,54.52,54.52,54,54.52,121874
2000-08-07,54.52,55,54.52,54.76,42350
2000-08-08,54.24,54.76,54.24,54.52,46075
2000-08-09,55.52,55.52,55,55,64725
2000-08-10,54.76,54.76,54.24,54.76,42700
2000-08-11,55,55.52,55,55.52,48275
2000-08-14,54.76,55.24,54.52,55.24,57350
2000-08-15,55.24,55.76,55,55.76,229475
2000-08-16,55.52,55.52,55,55,76200
2000-08-17,54.76,55,54.24,55,149425
2000-08-18,55,55.24,54.76,55.24,45650
2000-08-21,55,55.24,54.52,55,30400
2000-08-22,55.52,55.76,55.24,55.24,61849
2000-08-23,56,56.24,55.76,56.24,100050
2000-08-24,55.52,55.52,55,55.52,83875
2000-08-25,55.76,56,55.52,56,45875
2000-08-28,56.52,56.76,56.24,56.76,55075
2000-08-29,56.52,56.52,56,56.52,37875
2000-08-30,55.76,55.76,55.24,55.24,46475
2000-08-31,55.76,56,55.52,55.76,55049
2000-09-01,55.76,56.52,55.76,56.24,80850
2000-09-05,55.24,55.24,54.52,54.52,161525
2000-09-06,54.76,54.76,54.24,54.52,75225
2000-09-07,54.76,55.24,54.76,55,54675
2000-09-08,55,55,54.52,54.76,40775
2000-09-11,53.52,54.24,53.52,54,41675
2000-09-12,53.52,53.52,53,53.52,42775
2000-09-13,53.24,53.52,53,53.24,59275
2000-09-14,53.52,53.76,53.24,53.24,51675
2000-09-15,53.24,53.24,52.76,52.76,46500
2000-09-18,53.52,53.76,53,53,71375
2000-09-19,53.52,54,53.52,54,62975
2000-09-20,54.52,54.76,54,54.24,84175
2000-09-21,54,54.24,53.76,53.76,38600
2000-09-22,52.76,53.24,52.52,53.24,45625
2000-09-25,53.52,53.52,52.76,52.76,51750
2000-09-26,53,53.24,52.52,53,36550
2000-09-27,52.52,52.52,52,52.24,74975
2000-09-28,52.24,53,52,53,141550
2000-09-29,52.24,53,51.76,53,159325
2000-10-02,53.52,53.76,53,53,30175
2000-10-03,53.52,54,53,53.76,63425
2000-10-04,53.76,54,53.52,54,71550
2000-10-05,53.76,54,53.52,53.76,91075
2000-10-06,53.76,53.76,52.76,53,75850
2000-10-09,52.76,53,52.52,53,28475
2000-10-10,52.76,53.52,52.76,53,47925
2000-10-11,51.76,52,51.52,51.76,38325
2000-10-12,52.24,52.52,51,51,43700
2000-10-13,51.76,52.24,51.24,52.24,67275
2000-10-16,51.76,52,51.24,51.76,46375
2000-10-17,51.76,52,50.76,50.76,64649
2000-10-18,49.76,50.76,49.24,50,50425
2000-10-19,50.52,51.24,50.52,51.24,109975
2000-10-20,51,51,50.52,50.76,41525
2000-10-23,50.52,51,50.24,51,48300
2000-10-24,50.52,51,50.52,50.76,36900
2000-10-25,50,50.24,49.76,50,70750
2000-10-26,50.76,50.76,49.52,50.24,58849
2000-10-27,50.76,51,50.52,51,58325
2000-10-30,49.76,50.24,49,49.76,54750
2000-10-31,50.24,50.76,50,50.76,94300
2000-11-01,50.76,51,50.52,50.52,62175
2000-11-02,51,51.76,51,51.52,46525
2000-11-03,51.52,52.24,51.52,52.24,45950
2000-11-06,52.52,53,52.52,52.52,81375
2000-11-07,52.24,52.52,52,52.24,31275
2000-11-08,52.24,52.24,51.76,51.76,40825
2000-11-09,51.24,51.52,50.76,51,42550
