Symbol: EWW,,,,,Study: VOL (LikeMain)
Date Time,Open,High,Low,Close,Volume
1999-12-31,18.06,18.06,18,18.06,14100
2000-01-03,18.5,18.63,18.06,18.25,42800
2000-01-04,17.75,17.75,16.63,16.63,37400
2000-01-05,16.56,17.06,16.25,17,22400
2000-01-06,16.81,17.13,16.81,17,21300
2000-01-07,17.19,17.69,16.94,17.5,57600
2000-01-10,18.25,18.38,18,18.38,36700
2000-01-11,18.56,18.56,17.88,17.88,29300
2000-01-12,18,18,17.63,17.75,5700
2000-01-13,18.5,18.56,18.25,18.38,27000
2000-01-14,18.25,18.63,18.25,18.63,23700
2000-01-18,18.63,18.75,18.38,18.56,26800
2000-01-19,18.63,18.63,18,18.25,11900
2000-01-20,18.06,18.31,17.5,17.5,94400
2000-01-21,17.63,17.63,17.44,17.5,10900
2000-01-24,17.5,17.63,16.88,16.88,21400
2000-01-25,16.88,17.13,16.69,16.88,21500
2000-01-26,17.13,17.13,16.88,17.13,10200
2000-01-27,17.06,17.38,17,17.19,29600
2000-01-28,16.69,16.94,16.5,16.56,12900
2000-01-31,16.38,16.38,15.81,16.25,12400
2000-02-01,16.19,16.44,15.94,16.31,21900
2000-02-02,16.31,16.75,16.31,16.75,27300
2000-02-03,16.88,17.69,16.88,17.69,16800
2000-02-04,17.63,18.31,17.63,18.13,73300
2000-02-07,18.25,18.56,18.13,18.56,23300
2000-02-08,19.38,19.38,18.44,18.88,26400
2000-02-09,18.69,19.06,18.56,18.56,16800
2000-02-10,18.5,19.38,18.5,19.06,35300
2000-02-11,19.38,19.44,18.63,18.69,17900
2000-02-14,19.06,19.06,18.75,18.75,11800
2000-02-15,18.75,18.88,18.25,18.75,31300
2000-02-16,18.81,18.94,18.69,18.94,8900
2000-02-17,19,19,18.56,18.75,13700
2000-02-18,18.81,18.81,18,18,11500
2000-02-22,17.81,17.88,17.38,17.38,27500
2000-02-23,17.81,18.13,17.75,18.13,20400
2000-02-24,18.13,18.44,17.88,17.94,15100
2000-02-25,17.94,18.19,17.81,17.81,17900
2000-02-28,17.69,17.81,17.38,17.75,14700
2000-02-29,17.88,18.13,17.75,17.75,7400
2000-03-01,18,18.38,17.75,18.19,16400
2000-03-02,18.5,19.38,18.5,19.38,16800
2000-03-03,20,20.25,19.56,19.94,70100
2000-03-06,19.94,19.94,19.38,19.63,16400
2000-03-07,19.31,20.44,19.13,19.75,75700
2000-03-08,20,20.56,20,20.25,32700
2000-03-09,20.75,20.81,20.38,20.56,16700
2000-03-10,20.75,20.75,20.13,20.13,28900
2000-03-13,19.88,19.88,19.19,19.38,19400
2000-03-14,19.63,19.63,19,19,12900
2000-03-15,18.94,19.31,18.69,19.25,31500
2000-03-16,19.81,19.81,19.31,19.44,12400
2000-03-17,19.5,19.75,19.31,19.63,35500
2000-03-20,19.75,19.75,19.44,19.69,55000
2000-03-21,19.63,19.75,19.44,19.75,9200
2000-03-22,19.56,19.75,19.19,19.44,14500
2000-03-23,19,19.63,19,19.63,17000
2000-03-24,19.69,20.06,19.63,20,15300
2000-03-27,20.31,20.31,20,20.19,11200
2000-03-28,19.88,20,19.69,19.69,4600
2000-03-29,19.31,19.63,19.25,19.31,60300
2000-03-30,18.94,19,18.25,18.56,91800
2000-03-31,18.88,18.88,18.44,18.44,7300
2000-04-03,18.44,18.44,17.88,17.88,20300
2000-04-04,18.06,18.38,16.88,17.56,57700
2000-04-05,17.56,18.06,17.44,17.94,16600
2000-04-06,18.06,18.38,18.06,18.31,13900
2000-04-07,18.81,19,18.69,19,27700
2000-04-10,18.75,19.06,18.75,18.81,19400
2000-04-11,18.44,18.81,18.25,18.31,7400
2000-04-12,18.25,18.25,17.75,17.75,11200
2000-04-13,17.63,17.63,17.19,17.19,17100
2000-04-14,16.31,16.56,15.31,15.44,56300
2000-04-17,15.44,15.5,15.19,15.5,19200
2000-04-18,15.75,16.38,15.5,16.38,16200
2000-04-19,16.19,16.31,16,16.06,23100
2000-04-20,16,16,15.81,16,5100
2000-04-24,15.5,15.94,15.5,15.88,8700
2000-04-25,16.31,16.63,16.31,16.63,3800
2000-04-26,16.75,17.06,16.44,16.5,7700
2000-04-27,15.88,16.69,15.88,16.44,19600
2000-04-28,16.69,16.75,16.56,16.69,6900
2000-05-01,16.31,16.56,16.31,16.38,5100
2000-05-02,16.56,16.81,16.38,16.38,5900
2000-05-03,16,16,15.5,15.56,43800
2000-05-04,16,16.06,15.69,15.94,10100
2000-05-08,16,16,15.38,15.44,5500
2000-05-09,15.63,15.63,15.13,15.25,16900
2000-05-10,15,15.13,14.81,14.94,34400
2000-05-11,15.38,15.38,15.31,15.31,2000
