Symbol: FXU,,,,,Study: VOL (LikeMain)
Date Time,Open,High,Low,Close,Volume
2007-05-11,19.86,19.96,19.85,19.94,22000
2007-05-14,20.03,20.06,20.02,20.06,14000
2007-05-15,20.14,20.2,20.14,20.2,5200
2007-05-16,20.05,20.05,20.02,20.02,4000
2007-05-17,20.05,20.06,20.05,20.06,4000
2007-05-18,20.14,20.14,20.08,20.08,10400
2007-05-21,20.23,20.27,20.23,20.27,35000
2007-05-22,20.3,20.36,20.28,20.36,12200
2007-05-23,20.31,20.31,20.13,20.13,2500
2007-05-30,19.76,19.76,19.76,19.76,2000
2007-06-05,19.78,19.78,19.78,19.78,1000
2007-06-15,19.41,19.43,19.41,19.43,500
2007-06-18,19.35,19.35,19.3,19.3,400
2007-06-19,19.24,19.32,19.21,19.3,2000
2007-06-26,18.93,18.96,18.84,18.85,900
2007-06-29,19.11,19.11,19,19,700
2007-07-05,19.27,19.27,19.27,19.27,800
2007-07-06,19.41,19.41,19.41,19.41,400
2007-07-09,19.36,19.36,19.35,19.35,300
2007-07-11,19.25,19.25,19.21,19.25,1900
2007-07-12,19.48,19.48,19.48,19.48,400
2007-07-18,19.41,19.41,19.41,19.41,2100
2007-07-23,19.71,19.71,19.66,19.71,6000
2007-07-26,18.96,18.96,18.6,18.63,1200
2007-07-27,18.69,18.7,18.68,18.68,1500
2007-08-01,18.47,18.47,18.47,18.47,200
2007-08-03,18.95,18.95,18.45,18.45,900
2007-08-07,18.66,18.66,18.53,18.66,1300
2007-08-09,18.32,18.32,18.32,18.32,200
2007-08-14,18.15,18.15,18.12,18.13,2000
2007-08-20,18.07,18.09,18.06,18.09,5000
2007-08-31,18.55,18.55,18.55,18.55,100
2007-09-10,18.63,18.63,18.53,18.53,10000
2007-09-11,18.68,18.68,18.68,18.68,200
2007-09-18,19.32,19.32,19.32,19.32,100
2007-09-26,19.16,19.22,19.16,19.22,500
2007-10-01,19.55,19.55,19.55,19.55,200
2007-10-04,19.36,19.36,19.33,19.33,200
2007-10-19,18.95,18.95,18.95,18.95,400
2007-10-25,18.94,18.97,18.94,18.94,300
2007-11-06,19.31,19.31,19.31,19.31,500
2007-11-07,19.26,19.26,19.26,19.26,1000
2007-11-08,19.26,19.26,19.26,19.26,200
2007-11-12,19.01,19.01,18.89,18.89,1100
2007-11-13,18.83,18.83,18.83,18.83,300
2007-11-16,18.8,18.8,18.8,18.8,500
2007-11-26,19.01,19.01,19.01,19.01,300
2007-11-28,19,19.01,19,19.01,500
2007-11-30,19.11,19.11,19.1,19.1,500
2007-12-06,19.42,19.53,19.42,19.53,400
2007-12-07,19.68,19.68,19.68,19.68,100
2007-12-10,19.69,19.69,19.69,19.69,100
2007-12-11,19.68,19.68,19.68,19.68,400
2007-12-12,19.39,19.4,19.39,19.39,2400
2007-12-17,19.05,19.05,18.99,18.99,1400
2007-12-19,19.1,19.13,19.1,19.13,1300
2007-12-21,18.51,18.51,18.51,18.51,200
2007-12-24,18.55,18.55,18.55,18.55,100
2007-12-26,18.61,18.61,18.55,18.55,6600
2007-12-27,18.43,18.43,18.4,18.4,2600
2007-12-28,18.41,18.41,18.41,18.41,500
2007-12-31,18.35,18.35,18.35,18.35,200
2008-01-02,18.09,18.12,18.09,18.12,600
2008-01-04,17.92,17.92,17.91,17.91,400
2008-01-07,17.95,18.1,17.95,18.04,1600
2008-01-08,18.23,18.23,18.1,18.11,500
2008-01-09,17.91,18.03,17.91,18.03,1300
2008-01-10,18.04,18.11,18.03,18.03,1300
2008-01-11,18.09,18.09,18.02,18.04,900
2008-01-14,18.03,18.06,18.03,18.06,1000
2008-01-15,17.88,17.88,17.88,17.88,1800
2008-01-16,17.76,17.77,17.68,17.68,3700
2008-01-17,17.57,17.57,17.17,17.17,1500
2008-01-18,16.99,17.04,16.99,17.04,1800
2008-01-22,16,16.41,15.89,16.31,21400
2008-01-23,16.12,16.66,16.09,16.66,2400
2008-01-24,16.52,16.55,16.42,16.47,2400
2008-01-25,16.46,16.48,16.25,16.25,6300
2008-01-28,16.5,16.5,16.34,16.39,7200
2008-01-29,16.72,16.72,16.63,16.67,2100
2008-01-30,16.66,16.87,16.66,16.73,2800
2008-01-31,16.52,16.85,16.52,16.83,1700
2008-02-01,17.01,17.02,16.97,17.02,1900
2008-02-04,17.07,17.33,17.07,17.3,6800
2008-02-05,16.92,16.92,16.74,16.75,4300
2008-02-06,16.79,16.91,16.65,16.65,62000
2008-02-07,16.48,16.48,16.48,16.48,100
2008-02-08,16.56,16.56,16.49,16.49,4000
2008-02-11,16.49,16.55,16.43,16.55,1300
2008-02-12,16.69,16.69,16.67,16.67,2800
2008-02-13,16.8,16.8,16.8,16.8,300
2008-02-14,16.76,16.78,16.69,16.7,1800
2008-02-15,16.69,16.69,16.67,16.68,1600
2008-02-20,16.54,16.62,16.54,16.59,800
2008-02-21,16.74,16.74,16.33,16.33,2200
2008-02-22,16.41,16.47,16.24,16.47,6200
2008-02-25,16.49,16.65,16.49,16.64,17500
2008-02-26,16.61,16.73,16.58,16.72,13400
2008-02-28,16.43,16.46,16.38,16.41,9400
2008-02-29,16.13,16.13,15.9,15.9,800
2008-03-03,15.85,15.91,15.85,15.91,2200
2008-03-04,15.96,15.96,15.96,15.96,1800
2008-03-05,16.07,16.07,15.97,16.07,1200
2008-03-06,15.75,15.75,15.75,15.75,100
2008-03-07,16.61,16.61,15.54,15.71,4100
2008-03-10,15.61,15.61,15.6,15.6,300
2008-03-11,15.73,15.9,15.67,15.9,900
2008-03-12,16.36,16.36,15.78,15.78,3700
2008-03-13,15.5,15.7,15.5,15.7,3400
2008-03-14,15.57,15.57,15.41,15.41,1700
2008-03-17,15.3,15.33,15.09,15.33,2000
2008-03-18,15.51,15.51,15.51,15.51,600
2008-03-19,16.27,16.27,15.52,15.52,6800
2008-03-20,15.44,15.59,15.4,15.57,2100
2008-03-24,15.61,15.61,15.53,15.6,1300
2008-03-25,15.73,15.73,15.65,15.65,1300
2008-03-26,15.61,15.67,15.59,15.64,5600
2008-03-27,15.82,15.82,15.72,15.77,5100
2008-03-28,15.73,15.75,15.6,15.6,1700
2008-03-31,15.35,15.7,15.35,15.7,5600
2008-04-01,15.88,16.05,15.88,16,6700
2008-04-02,16.05,16.2,16.05,16.12,8100
2008-04-03,16.28,16.28,16.06,16.06,1500
2008-04-04,16.2,16.2,16,16,4000
2008-04-07,15.93,16.61,15.93,16.18,6500
2008-04-08,16.12,16.12,16.11,16.11,1700
2008-04-09,16.3,16.3,16.06,16.06,3300
2008-04-10,16.04,16.04,15.94,15.98,5100
2008-04-11,15.94,15.99,15.9,15.91,14000
2008-04-14,15.91,15.92,15.89,15.89,2600
2008-04-15,15.94,16.01,15.94,15.97,2000
2008-04-16,16.2,16.34,16.1,16.34,2200
2008-04-17,16.5,16.5,15.74,16.34,2800
2008-04-18,17,17,16.39,16.43,14400
2008-04-21,16.6,16.6,16.28,16.34,4900
2008-04-22,16.25,16.25,16.12,16.15,4000
2008-04-23,16.23,16.31,16.2,16.27,4200
2008-04-24,16.35,16.36,16.17,16.36,2700
2008-04-25,16.5,16.5,16.26,16.35,5200
2008-04-28,16.36,16.4,16.34,16.37,5500
2008-04-29,16.38,16.38,16.31,16.33,3800
2008-04-30,16.34,16.45,16.32,16.34,5700
2008-05-01,16.38,16.67,16.38,16.67,9300
2008-05-02,16.75,16.84,16.75,16.76,4000
2008-05-05,16.6,16.68,16.6,16.68,1700
2008-05-06,16.64,16.74,16.51,16.74,4200
2008-05-07,16.69,16.69,16.57,16.57,900
2008-05-08,16.51,16.63,16.51,16.55,3400
2008-05-09,16.51,16.68,16.51,16.68,700
2008-05-12,16.69,16.78,16.69,16.78,7600
2008-05-13,16.79,16.83,16.75,16.83,7100
2008-05-14,16.94,17,16.94,17,2200
2008-05-15,16.96,17.05,16.84,17.04,5300
2008-05-16,17.1,17.19,17.05,17.19,2700
2008-05-19,17.19,17.22,17.14,17.19,5300
2008-05-20,17.19,17.24,17.09,17.09,4700
2008-05-21,17.55,17.55,17.14,17.16,8100
2008-05-22,17.25,17.26,17.13,17.19,2800
2008-05-23,17.17,17.17,16.92,16.93,13900
2008-05-27,17,17.01,16.94,17.01,700
2008-05-28,17,17.03,16.98,17.02,1900
