Symbol: GSY,,,,,Study: VOL (LikeMain)
Date Time,Open,High,Low,Close,Volume
2008-02-12,50.06,50.08,50.06,50.08,1800
2008-02-22,50.01,50.01,49.99,49.99,600
2008-02-27,50.08,50.08,50.08,50.08,100
2008-02-28,50.1,50.1,50.1,50.1,400
2008-03-26,50.05,50.05,50.05,50.05,600
2008-03-27,50.05,50.07,50.05,50.06,14600
2008-03-28,50.04,50.04,50.04,50.04,500
2008-03-31,50.06,50.06,50.06,50.06,3300
2008-04-02,50.07,50.08,50.03,50.07,1300
2008-04-03,50.07,50.08,50.07,50.08,600
2008-04-07,50.09,50.09,50.05,50.09,2100
2008-04-08,50.1,50.1,50.1,50.1,1400
2008-04-11,50.09,50.1,49.66,50.06,1200
2008-04-14,50.07,50.07,50.07,50.07,100
2008-04-15,50.12,50.12,50.08,50.08,1000
2008-04-16,50.11,50.11,50.07,50.07,700
2008-04-17,50.05,50.05,50.05,50.05,200
2008-04-21,50.06,50.06,49.66,50,1900
2008-04-22,50.06,50.06,50,50.06,700
2008-04-23,50.09,50.09,50.09,50.09,200
2008-04-24,50.07,50.07,50.07,50.07,200
2008-04-25,49.99,50.01,49.79,49.79,2400
2008-04-28,50.04,50.04,50.04,50.04,100
2008-04-30,50.01,50.05,49.91,50.05,600
2008-05-01,50.02,50.07,50.02,50.07,1000
2008-05-02,50.05,50.05,50.05,50.05,1900
2008-05-05,50.06,50.06,50.05,50.05,2200
2008-05-07,50.07,50.07,50.07,50.07,500
2008-05-08,50.09,50.1,50.09,50.1,1400
2008-05-09,50.07,50.09,50.07,50.09,3500
2008-05-12,50.1,50.1,50.1,50.1,400
2008-05-13,50.1,50.1,49.95,49.95,800
2008-05-14,50.11,50.11,50.11,50.11,200
2008-05-16,50.11,50.11,50.11,50.11,1400
2008-05-19,50.12,50.12,50.12,50.12,300
2008-05-20,50.12,50.12,50.12,50.12,1700
2008-05-23,50.12,50.12,50.12,50.12,2600
2008-05-27,50.04,50.05,50.04,50.05,700
2008-05-28,50.03,50.03,50.03,50.03,1400
2008-05-29,50.03,50.03,50.03,50.03,6300
2008-05-30,50.06,50.06,50.06,50.06,6100
2008-06-02,50.04,50.06,50.04,50.06,200
2008-06-03,50.1,50.1,50.1,50.1,100
2008-06-04,50.03,50.03,50.03,50.03,200
2008-06-12,50.1,50.1,50.08,50.08,900
2008-06-16,50.12,50.12,50.12,50.12,100
2008-06-18,50.12,50.12,50.11,50.11,300
2008-06-19,50.12,50.12,50.06,50.12,300
2008-06-20,50.11,50.11,50.11,50.11,100
2008-06-23,50.11,50.11,50.11,50.11,100
2008-06-24,50.14,50.15,50.14,50.15,800
2008-06-27,50.06,50.06,50.06,50.06,100
2008-06-30,50.07,50.07,50.07,50.07,200
2008-07-01,50.09,50.09,50.09,50.09,100
2008-07-02,50.09,50.09,50.09,50.09,200
2008-07-07,50.03,50.1,50.03,50.1,300
2008-07-09,50.1,50.1,50.1,50.1,100
2008-07-11,50.1,50.1,50.08,50.08,200
2008-07-15,50.13,50.13,50.06,50.13,600
2008-07-16,50.12,50.12,50.12,50.12,300
2008-07-21,50.12,50.12,49.96,50.12,1200
