Symbol: ITA,,,,,Study: VOL (LikeMain)
Date Time,Open,High,Low,Close,Volume
2006-06-30,23.55,23.585,23.55,23.585,9200
2006-07-03,23.625,23.685,23.625,23.685,3000
2006-07-05,23.575,23.575,23.41,23.535,57600
2006-07-06,23.64,23.77,23.61,23.655,595600
2006-07-07,23.575,23.675,23.385,23.425,305000
2006-07-10,23.6,23.685,23.455,23.5,143400
2006-07-11,23.525,23.96,23.42,23.93,67000
2006-07-12,23.96,23.97,23.675,23.725,53000
2006-07-13,23.61,23.615,23.295,23.35,46800
2006-07-14,23.15,23.15,22.79,23.005,20800
2006-07-17,23.095,23.1,22.8,22.85,37400
2006-07-18,22.95,23.02,22.58,22.915,17400
2006-07-19,22.975,23.58,22.975,23.58,121400
2006-07-20,23.6,23.745,23.25,23.25,76400
2006-07-21,23.2,23.2,23.01,23.13,20200
2006-07-24,23.215,23.545,23.215,23.545,12000
2006-07-25,23.575,24.12,23.575,24.055,35600
2006-07-26,23.995,23.995,23.69,23.845,112400
2006-07-27,23.95,24.03,23.615,23.685,61600
2006-07-28,23.8,23.855,23.65,23.805,44400
2006-07-31,23.715,23.795,23.665,23.75,74200
2006-08-01,23.625,23.625,23.485,23.62,26800
2006-08-02,23.6,23.75,23.55,23.655,11600
2006-08-03,23.55,23.73,23.4,23.685,129400
2006-08-04,23.875,23.88,23.49,23.585,20800
2006-08-07,23.565,23.565,23.325,23.485,13800
2006-08-08,23.6,23.6,23.175,23.2,20800
2006-08-09,23.44,23.44,22.85,22.86,30000
2006-08-10,22.82,23.125,22.7,23.065,41800
2006-08-11,23.075,23.075,22.815,22.89,20400
2006-08-14,23.05,23.215,22.935,22.945,9800
2006-08-15,23.2,23.37,23.2,23.365,24400
2006-08-16,23.515,23.84,23.515,23.805,185400
2006-08-17,23.8,23.975,23.735,23.91,96200
2006-08-18,23.925,23.925,23.77,23.895,11400
2006-08-21,23.845,23.845,23.64,23.725,64600
2006-08-22,23.7,23.805,23.6,23.705,185800
2006-08-23,23.7,23.79,23.445,23.485,22200
2006-08-24,23.6,23.6,23.41,23.43,17400
2006-08-25,23.4,23.405,23.22,23.31,29400
2006-08-28,23.3,23.585,23.3,23.585,15400
2006-08-29,23.65,23.66,23.445,23.645,11400
2006-08-30,23.665,23.785,23.58,23.75,32000
2006-08-31,23.82,23.875,23.775,23.825,10400
2006-09-01,23.865,24.075,23.865,24,8600
2006-09-05,24.05,24.245,23.985,24.225,12200
2006-09-06,24.2,24.2,23.95,23.955,13000
2006-09-07,23.975,23.975,23.745,23.76,10400
2006-09-08,23.85,23.865,23.81,23.81,12000
2006-09-11,23.73,23.95,23.7,23.885,20200
2006-09-12,23.9,23.9,23.735,23.87,7600
2006-09-13,23.9,24.065,23.86,24.035,20000
2006-09-14,24.05,24.05,23.905,23.995,21600
2006-09-15,24.16,24.21,24.04,24.125,9000
2006-09-18,24.16,24.245,24.075,24.155,10400
2006-09-19,24.145,24.145,23.93,24.06,10000
2006-09-20,24.15,24.41,24.15,24.405,21600
2006-09-21,24.45,24.45,24.195,24.265,20800
2006-09-22,24.155,24.22,24.12,24.19,9400
2006-09-25,24.325,24.485,24.26,24.43,67800
2006-09-26,24.475,24.575,24.385,24.54,32400
2006-09-27,24.6,24.615,24.445,24.525,41200
2006-09-28,24.6,24.615,24.385,24.545,22000
2006-09-29,24.57,24.595,24.41,24.41,15000
2006-10-02,24.39,24.58,24.375,24.445,7800
2006-10-03,24.43,24.765,24.3,24.635,70800
2006-10-04,24.585,24.92,24.55,24.9,36400
2006-10-05,24.975,25.075,24.865,25.07,53800
2006-10-06,25.025,25.105,24.88,25.065,25200
2006-10-09,25.1,25.145,24.97,25.135,37600
2006-10-10,25.2,25.2,25.06,25.185,16800
2006-10-11,25.175,25.175,24.975,25.145,43000
2006-10-12,25.2,25.635,25.2,25.635,120800
2006-10-13,25.625,25.665,25.51,25.64,66800
2006-10-16,25.65,25.845,25.65,25.835,35600
2006-10-17,25.775,25.775,25.465,25.515,36800
2006-10-18,25.63,25.725,25.45,25.515,74000
2006-10-19,25.475,25.475,25.265,25.37,27200
2006-10-20,25.425,25.425,25.17,25.195,19800
2006-10-23,25.19,25.315,25.1,25.295,13000
2006-10-24,25.35,25.415,25.295,25.415,34400
2006-10-25,25.45,25.45,25.08,25.155,164800
2006-10-26,25.275,25.275,24.81,25.24,68800
2006-10-27,25.225,25.295,25.05,25.095,37800
2006-10-30,25.1,25.47,25.1,25.425,111800
2006-10-31,25.425,25.425,25.245,25.35,163600
2006-11-01,25.385,25.5,25.205,25.21,18600
2006-11-02,25.125,25.145,25,25.01,84200
2006-11-03,25.15,25.18,24.99,25.07,12600
2006-11-06,25.325,25.515,25.275,25.465,35000
2006-11-07,25.49,25.795,25.49,25.69,64200
2006-11-08,25.425,25.63,25.32,25.515,245799
2006-11-09,25.625,25.65,25.325,25.325,74000
2006-11-10,25.4,25.545,25.395,25.48,15200
2006-11-13,25.55,25.75,25.55,25.68,26800
2006-11-14,25.8,26.02,25.685,26.02,30400
2006-11-15,26.1,26.47,26.1,26.42,84200
2006-11-16,26.55,26.57,26.455,26.56,24800
2006-11-17,26.55,26.55,26.395,26.45,39200
2006-11-20,26.475,26.475,26.385,26.395,13400
2006-11-21,26.475,26.58,26.4,26.56,19400
2006-11-22,26.6,26.6,26.505,26.58,27600
2006-11-24,26.425,26.57,26.425,26.55,3600
2006-11-27,26.5,26.5,25.95,25.95,47200
2006-11-28,25.95,26.095,25.845,26.095,17200
2006-11-29,26.225,26.495,26.225,26.495,12000
2006-11-30,26.475,26.49,26.145,26.4,59400
2006-12-01,26.5,26.5,26.125,26.31,33200
2006-12-04,26.465,26.795,26.465,26.74,108800
2006-12-05,26.7,26.87,26.7,26.865,29600
2006-12-06,26.95,26.95,26.76,26.92,37400
2006-12-07,27,27.03,26.78,26.8,34400
2006-12-08,26.8,26.84,26.67,26.755,20200
2006-12-11,26.8,26.82,26.705,26.725,13000
2006-12-12,26.65,26.695,26.51,26.6,13000
2006-12-13,26.75,26.775,26.56,26.59,93200
2006-12-14,26.6,26.675,26.545,26.57,23200
2006-12-15,26.725,26.76,26.68,26.68,10200
2006-12-18,26.675,26.69,26.35,26.35,70600
2006-12-19,26.3,26.635,26.3,26.635,31000
2006-12-20,26.505,26.79,26.505,26.775,37800
2006-12-21,26.825,26.845,26.6,26.685,43200
2006-12-22,26.675,26.675,26.43,26.485,12600
2006-12-26,26.5,26.72,26.5,26.72,21400
2006-12-27,26.8,26.955,26.8,26.955,83800
2006-12-28,26.975,26.975,26.835,26.895,18400
2006-12-29,26.85,26.89,26.72,26.72,27200
2007-01-03,26.79,27,26.61,26.74,41600
2007-01-04,26.66,26.755,26.52,26.71,97800
2007-01-05,26.665,26.67,26.485,26.585,14600
2007-01-08,26.65,26.895,26.535,26.88,41200
2007-01-09,26.95,26.975,26.7,26.855,13400
2007-01-10,26.8,27.06,26.745,27.06,51000
2007-01-11,27.06,27.33,27.05,27.255,134600
2007-01-12,27.27,27.285,27.125,27.245,55200
2007-01-16,27.4,27.455,27.28,27.33,73600
2007-01-17,27.35,27.42,27.245,27.34,55400
2007-01-18,27.275,27.3,27,27.055,70200
2007-01-19,27.105,27.22,27.055,27.215,59600
2007-01-22,27.15,27.15,26.75,26.805,33000
2007-01-23,26.975,27.565,26.925,27.455,253799
2007-01-24,27.44,27.555,27.31,27.555,65800
2007-01-25,27.675,27.675,27.185,27.215,35600
2007-01-26,27.25,27.255,26.945,27.11,47600
2007-01-29,27.115,27.19,27.065,27.17,28600
2007-01-30,27.195,27.34,27.195,27.32,34000
2007-01-31,27.4,27.78,27.4,27.72,33400
2007-02-01,27.83,28.085,27.79,28.07,63000
2007-02-02,28.15,28.225,28.07,28.11,35400
2007-02-05,28.16,28.27,28.055,28.215,32800
2007-02-06,28.295,28.41,28.23,28.385,58400
2007-02-07,28.46,28.545,28.405,28.505,47200
2007-02-08,28.56,28.56,28.365,28.465,81000
2007-02-09,28.525,28.525,28.21,28.28,196800
2007-02-12,28.3,28.3,28.12,28.2,74400
2007-02-13,28.25,28.45,28.25,28.44,45400
2007-02-14,28.55,28.645,28.5,28.605,338600
2007-02-15,28.675,28.795,28.595,28.775,125800
2007-02-16,28.8,28.8,28.585,28.7,43600
2007-02-20,28.75,28.925,28.64,28.92,58800
2007-02-21,28.975,29.04,28.86,28.95,77200
2007-02-22,28.97,29.035,28.715,28.85,169400
2007-02-23,28.78,28.84,28.66,28.81,46400
2007-02-26,28.9,28.9,28.445,28.5,277600
2007-02-27,28,28.18,27.39,27.575,215800
2007-02-28,27.69,27.925,27.42,27.725,118600
2007-03-01,27.26,27.9,27.17,27.735,48800
2007-03-02,27.67,27.735,27.335,27.335,202600
2007-03-05,27.05,27.52,27.045,27.075,240999
2007-03-06,27.5,27.57,27.3,27.555,34000
2007-03-07,27.575,27.64,27.455,27.55,28400
2007-03-08,27.75,27.905,27.69,27.74,36600
2007-03-09,28,28,27.775,27.9,113600
2007-03-12,27.945,28.305,27.895,28.26,96400
2007-03-13,28.15,28.15,27.6,27.64,30600
2007-03-14,27.675,27.835,27.27,27.735,46000
2007-03-15,27.8,28.03,27.8,28.025,41600
2007-03-16,28.05,28.215,28.005,28.045,51800
2007-03-19,28.325,28.39,28.235,28.29,27600
2007-03-20,28.345,28.415,28.25,28.415,43000
2007-03-21,28.47,28.73,28.33,28.7,32000
2007-03-22,28.745,28.745,28.14,28.535,98800
2007-03-23,28.5,28.725,28.5,28.7,103200
2007-03-26,28.7,28.715,28.375,28.615,130000
2007-03-27,28.535,28.535,28.385,28.53,141000
2007-03-28,28.45,28.45,28.165,28.23,25000
2007-03-29,28.45,28.5,28.175,28.36,48600
2007-03-30,28.45,28.535,28.14,28.26,649200
2007-04-02,28.35,28.35,28.21,28.32,20000
2007-04-03,28.5,28.675,28.4,28.6,33800
2007-04-04,28.65,28.69,28.585,28.63,29200
2007-04-05,28.55,28.665,28.55,28.62,297000
2007-04-09,28.75,28.75,28.595,28.62,77200
2007-04-10,28.675,28.73,28.63,28.67,98400
2007-04-11,28.69,28.69,28.35,28.385,41600
2007-04-12,28.3,28.595,28.26,28.595,28800
2007-04-13,28.535,28.65,28.475,28.625,20200
2007-04-16,28.75,28.92,28.75,28.89,45200
2007-04-17,28.835,28.945,28.775,28.875,19200
2007-04-18,28.89,29.19,28.88,29.105,72600
2007-04-19,29,29.06,28.89,28.97,28400
2007-04-20,29.325,29.325,29.18,29.27,74000
2007-04-23,29.295,29.43,29.295,29.395,42800
2007-04-24,29.425,29.425,29.105,29.26,263800
2007-04-25,29.375,29.5,29.24,29.42,57600
2007-04-26,29.475,29.475,29.275,29.295,60600
2007-04-27,29.29,29.535,29.29,29.49,34200
2007-04-30,29.45,29.555,29.29,29.29,35400
2007-05-01,29.4,29.4,29.175,29.37,20600
2007-05-02,29.43,29.85,29.43,29.75,48000
2007-05-03,29.875,29.99,29.805,29.99,19400
2007-05-04,30.175,30.225,30.02,30.11,26400
2007-05-07,30.35,30.48,30.315,30.48,34800
2007-05-08,30.3,30.385,30.125,30.385,34800
2007-05-09,30.415,30.57,30.34,30.535,30800
2007-05-10,30.44,30.455,30.235,30.25,38000
2007-05-11,30.3,30.39,30.24,30.39,32000
2007-05-14,30.5,30.53,30.295,30.325,25800
2007-05-15,30.49,30.65,30.26,30.26,26200
2007-05-16,30.35,30.52,30.29,30.52,30200
2007-05-17,30.5,30.655,30.435,30.57,22200
2007-05-18,30.65,30.65,30.52,30.6,28200
2007-05-21,30.595,30.805,30.595,30.725,74000
2007-05-22,30.75,30.75,30.51,30.55,42000
2007-05-23,30.575,30.615,30.375,30.375,59000
2007-05-24,30.55,30.755,30.27,30.27,26400
2007-05-25,30.55,30.555,30.415,30.505,16400
2007-05-29,30.725,30.78,30.64,30.78,25800
2007-05-30,30.64,31.01,30.575,31.01,22000
2007-05-31,31.15,31.26,31.105,31.235,56800
2007-06-01,31.415,31.52,31.24,31.275,23200
2007-06-04,31.26,31.37,31.235,31.355,28200
2007-06-05,31.225,31.29,31.09,31.255,30400
2007-06-06,31.15,31.165,30.96,31.15,24800
2007-06-07,31.15,31.15,30.63,30.63,23400
2007-06-08,30.505,31.025,30.46,31.025,44000
2007-06-11,30.95,31.065,30.85,31.035,15600
2007-06-12,30.775,30.995,30.675,30.675,29400
2007-06-13,30.865,31.09,30.815,31.05,26600
2007-06-14,31.225,31.46,31.225,31.395,34600
2007-06-15,31.75,31.825,31.66,31.68,177000
2007-06-18,31.775,31.775,31.5,31.535,37400
2007-06-19,31.65,31.71,31.54,31.71,57000
2007-06-20,31.85,31.85,31.375,31.375,44000
2007-06-21,31.22,31.525,31.09,31.435,41800
2007-06-22,31.415,31.415,31.035,31.22,36800
2007-06-25,31.325,31.4,30.99,31.105,56800
2007-06-26,31.25,31.25,30.96,31.045,15400
2007-06-27,30.875,31.24,30.81,31.24,47600
2007-06-28,31.275,31.405,31.22,31.255,74600
2007-06-29,31.35,31.595,31.245,31.415,35600
2007-07-02,31.45,31.835,31.45,31.835,63600
2007-07-03,32.025,32.07,31.935,31.985,40800
2007-07-05,32.095,32.19,32.035,32.18,72800
2007-07-06,32.19,32.315,32.145,32.235,49400
2007-07-09,32.48,32.6,32.375,32.56,138400
2007-07-10,32.4,32.4,32.095,32.095,70400
2007-07-11,32.22,32.325,32.04,32.255,896799
