Symbol: IYH,,,,,Study: VOL (LikeMain)
Date Time,Open,High,Low,Close,Volume
2000-06-16,12.576,12.718,12.576,12.632,55500
2000-06-19,12.55,12.812,12.55,12.812,9000
2000-06-20,12.8,12.8,12.688,12.688,24000
2000-06-21,12.8,12.888,12.8,12.888,44500
2000-06-22,12.788,12.788,12.512,12.512,22000
2000-06-23,12.582,12.582,12.506,12.544,3000
2000-06-26,12.612,12.706,12.612,12.676,5000
2000-06-27,12.806,12.856,12.744,12.788,138500
2000-06-28,12.8,12.876,12.644,12.876,53000
2000-06-29,13.05,13.056,12.95,13.056,4000
2000-06-30,13.006,13.026,12.926,12.95,441000
2000-07-03,13.162,13.206,13.1,13.2,15000
2000-07-05,13.25,13.45,13.25,13.388,13000
2000-07-06,13.362,13.362,13.25,13.312,20500
2000-07-07,13.362,13.468,13.35,13.368,156500
2000-07-10,13.55,13.6,13.4,13.506,23500
2000-07-11,13.556,13.738,13.512,13.668,128499
2000-07-12,13.668,13.668,13.462,13.532,560000
2000-07-13,13.35,13.35,12.95,12.95,66500
2000-07-14,12.9,12.9,12.582,12.694,55000
2000-07-17,12.744,13.182,12.744,13.1,94000
2000-07-18,13.1,13.1,12.962,12.968,10000
2000-07-19,12.718,13.006,12.676,12.732,37000
2000-07-20,12.444,12.65,12.444,12.55,79500
2000-07-21,12.6,12.744,12.6,12.732,114499
2000-07-24,12.862,13.006,12.862,12.95,11000
2000-07-25,12.838,12.838,12.55,12.55,16000
2000-07-26,12.562,12.682,12.494,12.526,15500
2000-07-27,12.594,12.768,12.562,12.768,17500
2000-07-28,12.726,12.744,12.644,12.688,15000
2000-07-31,12.688,12.688,12.488,12.5,35000
2000-08-01,12.794,12.982,12.726,12.956,183500
2000-08-02,12.944,13.126,12.912,13.062,87000
2000-08-03,13.076,13.162,13.068,13.162,17500
2000-08-04,13.126,13.126,13,13.044,12000
2000-08-07,13.112,13.112,13.082,13.082,3000
2000-08-08,13,13.132,12.906,13.088,28000
2000-08-09,12.976,13.094,12.4,12.4,519000
2000-08-10,12.45,12.55,12.444,12.476,27000
2000-08-11,12.518,12.688,12.488,12.662,22000
2000-08-14,12.662,12.662,12.538,12.638,23500
2000-08-15,12.6,12.644,12.494,12.494,48000
2000-08-16,12.576,12.65,12.562,12.6,35000
2000-08-17,12.576,12.756,12.576,12.712,27000
2000-08-18,12.568,12.568,12.388,12.426,151500
2000-08-21,12.444,12.618,12.444,12.588,15500
2000-08-22,12.6,12.644,12.538,12.538,22500
2000-08-23,12.582,12.676,12.582,12.6,33500
2000-08-24,12.662,12.762,12.656,12.756,50000
2000-08-25,12.794,12.862,12.794,12.844,69500
2000-08-28,12.862,12.912,12.738,12.738,27500
2000-08-29,12.662,12.726,12.568,12.568,38500
2000-08-30,12.662,12.676,12.6,12.65,32000
2000-08-31,12.706,12.894,12.706,12.818,27500
2000-09-01,12.8,12.838,12.776,12.806,19500
2000-09-05,12.6,12.6,12.376,12.456,86000
2000-09-06,12.45,12.45,12.138,12.162,49000
2000-09-07,12.25,12.426,12.226,12.376,111000
2000-09-08,12.376,12.482,12.35,12.406,52000
2000-09-11,12.4,12.406,12.332,12.382,25000
2000-09-12,12.5,12.518,12.462,12.462,25500
2000-09-13,12.576,12.626,12.544,12.588,33500
2000-09-14,12.656,12.656,12.512,12.594,24000
2000-09-15,12.55,12.568,12.544,12.544,14000
2000-09-18,12.576,12.6,12.4,12.4,25500
2000-09-19,12.438,12.506,12.326,12.456,440500
2000-09-20,12.4,12.506,12.332,12.506,184500
2000-09-21,12.476,12.806,12.476,12.788,33500
2000-09-22,13,13.282,12.994,13.256,45500
2000-09-25,13.256,13.288,13.162,13.194,109000
2000-09-26,13.144,13.144,12.894,13.044,293000
2000-09-27,12.95,13.1,12.944,13.076,196000
2000-09-28,13.132,13.356,13.132,13.294,282000
2000-09-29,13.326,13.456,13.326,13.344,146500
2000-10-02,13.206,13.244,13,13.082,47000
2000-10-03,13.118,13.3,13.076,13.144,18000
2000-10-04,13.006,13.018,12.862,12.868,50500
2000-10-05,13.038,13.25,13.038,13.218,78000
2000-10-06,13.262,13.262,12.912,13.062,57000
2000-10-09,13.062,13.076,12.868,12.906,28000
2000-10-10,12.95,13.294,12.95,13.256,48000
2000-10-11,13.206,13.35,13.168,13.168,33500
2000-10-12,13.162,13.326,13.094,13.206,30000
2000-10-13,13.126,13.126,12.926,13.044,156500
2000-10-16,13.2,13.362,13.2,13.35,28000
2000-10-17,13.4,13.556,13.382,13.55,35000
2000-10-18,13.312,13.476,13.25,13.432,80000
2000-10-19,13.338,13.338,13.056,13.226,70500
2000-10-20,13.2,13.35,13.2,13.344,107000
2000-10-23,13.482,13.732,13.482,13.656,60500
2000-10-24,13.606,13.618,13.418,13.462,127000
2000-10-25,13.656,13.868,13.65,13.768,125000
2000-10-26,13.776,13.818,13.626,13.8,862500
2000-10-27,13.538,13.606,13.456,13.556,465999
2000-10-30,13.55,13.656,13.438,13.556,251000
2000-10-31,13.626,13.726,13.55,13.618,82000
2000-11-01,13.744,13.788,13.676,13.776,77000
2000-11-02,13.8,13.862,13.712,13.862,58000
2000-11-03,13.826,13.862,13.706,13.782,84500
2000-11-06,13.788,14.026,13.782,13.9,144000
2000-11-07,13.926,13.976,13.8,13.868,412500
2000-11-08,14.162,14.25,14.05,14.05,370500
2000-11-09,13.9,14.026,13.568,13.982,549500
2000-11-10,13.926,14.118,13.862,14,430000
2000-11-13,13.826,13.826,13.188,13.418,238000
2000-11-14,13.368,13.668,13.262,13.618,461000
2000-11-15,13.662,13.8,13.6,13.794,326500
2000-11-16,13.75,13.812,13.6,13.606,48000
2000-11-17,13.582,13.818,13.506,13.594,102500
2000-11-20,13.494,13.594,13.418,13.562,44500
2000-11-21,13.556,13.712,13.556,13.662,21500
2000-11-22,13.388,13.612,13.368,13.538,73500
2000-11-24,13.556,13.582,13.438,13.5,108499
2000-11-27,13.7,14,13.618,13.938,92000
2000-11-28,14,14.112,13.862,13.994,112499
2000-11-29,14.068,14.244,14.068,14.176,135000
2000-11-30,14.232,14.318,13.912,13.944,113000
2000-12-01,13.726,13.794,13.562,13.656,93500
2000-12-04,13.626,13.918,13.568,13.844,117000
2000-12-05,13.9,14.094,13.794,13.882,228500
2000-12-06,13.832,13.882,13.526,13.662,93500
2000-12-07,13.756,13.756,13.612,13.732,33000
2000-12-08,13.662,14.044,13.662,13.8,25000
2000-12-11,13.894,14.132,13.894,13.982,181000
2000-12-12,13.95,13.968,13.868,13.868,113000
2000-12-13,14.032,14.144,13.968,14.044,147500
2000-12-14,14.012,14.012,13.876,13.876,51000
2000-12-15,13.944,13.944,13.75,13.932,44500
2000-12-18,13.832,14.006,13.832,13.906,42000
2000-12-19,14.068,14.256,14.062,14.144,47000
2000-12-20,14.032,14.188,13.912,13.962,43500
2000-12-21,13.926,13.932,13.694,13.882,564000
