Symbol: NLR,,,,,Study: VOL (LikeMain)
Date Time,Open,High,Low,Close,Volume
2007-08-15,114.75,115.5,113.31,113.49,17066
2007-08-16,109.8,110.7,105.96,108.75,16366
2007-08-17,109.41,109.41,107.19,108.99,44033
2007-08-20,110.7,110.94,109.53,110.67,7833
2007-08-21,111.3,111.54,110.73,111.42,23366
2007-08-22,112.44,114.69,112.08,114.45,16666
2007-08-23,117.75,118.2,115.86,116.79,16700
2007-08-24,116.58,118.38,116.28,118.2,12700
2007-08-27,119.04,119.22,118.53,118.53,17966
2007-08-28,116.61,116.7,115.26,115.8,7533
2007-08-29,114.39,114.75,113.7,114.72,20366
2007-08-30,113.19,114.3,112.8,114.18,7566
2007-08-31,115.29,115.95,114.9,115.95,4366
2007-09-04,117.66,118.35,117.63,118.35,16000
2007-09-05,116.88,118.35,114,114,23400
2007-09-06,114,114.75,113.94,114.75,14866
2007-09-07,113.64,113.7,113.13,113.16,12300
2007-09-10,112.44,112.5,111.12,111.12,8600
2007-09-11,111.42,113.25,111.42,113.25,12133
2007-09-12,112.8,114.6,112.17,114.6,23266
2007-09-13,114.6,117.6,114.51,117,51233
2007-09-14,116.34,117.9,116.16,117.6,33566
2007-09-17,117.72,117.9,116.82,117.15,11133
2007-09-18,117.3,119.4,117.21,119.4,23966
2007-09-19,121.05,121.35,119.67,119.7,42700
2007-09-20,119.94,120,119.28,119.4,12700
2007-09-21,120.6,121.8,120.12,121.65,14166
2007-09-24,122.58,122.7,121.8,121.89,21166
2007-09-25,120.69,121.14,119.88,120.15,16966
2007-09-26,122.4,124.5,121.89,123.9,44700
2007-09-27,126.06,126.3,125.55,126.15,22400
2007-09-28,126.9,127.14,126.45,126.9,32000
2007-10-01,124.68,125.37,123.96,124.95,49400
2007-10-02,123.45,123.45,121.29,121.92,13666
2007-10-03,122.1,122.25,120.3,120.81,15566
2007-10-04,120.24,120.54,119.4,120.36,29966
2007-10-05,121.5,122.85,120.48,122.55,22733
2007-10-08,123.15,123.15,121.5,121.5,13400
2007-10-09,122.4,123.9,122.1,123.9,48300
2007-10-10,124.08,124.14,123.45,123.72,12500
2007-10-11,124.2,124.5,122.31,122.4,66733
2007-10-12,122.4,123.9,122.4,123.63,20166
2007-10-15,127.5,128.1,126.87,127.14,32933
2007-10-16,125.04,125.1,123.63,124.5,26133
2007-10-17,125.7,125.79,123.39,124.2,29766
2007-10-18,124.8,126.75,124.2,126.75,20066
2007-10-19,127.17,127.17,124.14,124.47,18033
2007-10-22,120.48,122.82,118.14,121.47,55333
2007-10-23,124.08,125.7,123.45,125.7,32233
2007-10-24,125.67,126,123.6,125.07,21966
2007-10-25,127.02,127.38,126.15,127.32,38066
2007-10-26,129.24,129.72,128.46,129.72,23166
2007-10-29,131.7,135,130.47,133.05,49500
2007-10-30,133.2,133.32,132.42,132.57,18633
2007-10-31,132.51,133.95,131.46,133.26,28100
2007-11-01,131.04,132.45,130.53,130.86,16400
2007-11-02,132.75,133.95,131.34,133.56,19133
2007-11-05,132.06,133.41,131.19,132.33,27900
2007-11-06,134.25,134.4,133.38,134.25,28433
2007-11-07,133.95,134.1,128.88,129.72,47066
2007-11-08,131.19,131.19,125.82,127.95,85566
2007-11-09,127.5,127.5,123,125.22,90466
2007-11-12,126.3,126.3,116.88,118.02,32200
2007-11-13,116.1,121.8,116.1,121.65,20800
2007-11-14,121.11,123.42,120.87,121.11,25266
2007-11-15,118.5,120,117.3,118.17,35700
2007-11-16,119.94,119.94,116.25,118.65,37000
2007-11-19,117,117.39,113.19,114.27,22266
2007-11-20,114,116.85,113.97,115.59,13766
2007-11-21,114.51,115.65,111.81,112.32,33600
2007-11-23,114.12,115.02,113.22,115.02,12766
2007-11-26,116.16,117.9,113.55,113.91,18700
2007-11-27,115.65,115.65,111.75,112.89,14433
2007-11-28,114.66,116.97,114,116.52,13633
2007-11-29,120.03,120.03,115.83,116.49,8566
2007-11-30,122.31,122.31,116.01,116.88,15200
2007-12-03,119.76,119.76,115.2,116.04,14433
2007-12-04,114.75,114.78,112.59,112.62,9800
2007-12-05,116.01,116.01,114.36,115.53,10866
2007-12-06,118.26,118.26,115.56,117.21,21066
2007-12-07,117.81,119.1,117.81,118.89,16833
2007-12-10,117.09,119.4,117.09,119.4,15066
2007-12-11,119.97,120.27,116.64,117.3,23700
2007-12-12,120,120,116.4,117,16433
2007-12-13,115.32,117,114.03,115.02,17333
2007-12-14,114.24,114.24,111.93,112.41,16666
2007-12-17,111.84,111.84,107.4,108,40600
2007-12-18,109.32,111,106.92,109.32,57633
2007-12-19,109.2,110.25,108.87,109.74,9800
2007-12-20,110.4,110.43,108.78,110.31,20066
2007-12-21,110.55,112.65,110.55,112.62,18900
2007-12-24,111.63,114.57,108,108.6,26633
2007-12-26,111,111,107.55,108.03,13166
2007-12-27,108,108.63,107.19,107.19,12466
2007-12-28,108.45,108.45,104.73,107.79,47433
2007-12-31,108.27,108.27,106.32,106.8,19233
2008-01-02,107.79,108.33,106.47,106.62,11266
2008-01-03,108.99,109.2,106.5,108.3,23266
2008-01-04,108.72,109.05,106.47,106.68,43666
2008-01-07,107.1,107.67,105.18,106.08,23966
2008-01-08,107.43,109.35,106.2,106.2,25100
2008-01-09,107.97,107.97,105,107.07,19866
2008-01-10,107.19,107.85,105.33,107.07,22466
2008-01-11,106.86,106.86,103.26,103.8,48800
2008-01-14,103.68,105.6,103.68,105.3,16200
2008-01-15,105,105.27,101.67,102.6,21633
2008-01-16,99.03,101.55,97.68,99.06,26666
2008-01-17,97.98,99.87,94.8,94.8,34066
2008-01-18,94.89,97.5,93.24,94.83,25966
2008-01-22,90.9,91.02,85.5,89.67,56633
2008-01-23,87.87,90.81,84.75,90.81,17400
2008-01-24,91.98,93.93,91.98,93.78,13700
2008-01-25,97.44,97.65,91.8,91.8,25800
2008-01-28,93.75,94.77,92.31,94.77,68833
2008-01-29,96.18,96.18,93.66,94.5,17700
2008-01-30,93.9,95.88,93.18,93.96,5766
2008-01-31,93.81,95.07,91.5,94.92,10900
2008-02-01,95.04,97.32,94.68,96.6,16866
2008-02-04,97.98,97.98,96.39,97.29,14233
2008-02-05,96.48,96.48,91.95,92.22,25900
2008-02-06,94.41,94.41,91.65,92.82,14866
2008-02-07,93,93.27,90.63,91.5,13766
2008-02-08,91.47,91.47,90,90.54,16000
2008-02-11,91.35,91.59,89.46,91.59,17966
2008-02-12,92.1,93.69,91.59,92.85,14366
2008-02-13,95.1,95.55,93.69,94.65,69433
2008-02-14,98.85,98.85,96.54,96.84,42433
2008-02-15,99,99,96,98.55,92100
2008-02-19,99,100.5,98.1,98.85,74900
2008-02-20,97.77,98.79,96.39,98.58,46600
2008-02-21,97.44,99.27,96.9,96.99,21200
2008-02-22,98.85,106.86,97.08,102,14433
2008-02-25,104.61,104.61,99.78,101.97,44733
2008-02-26,104.85,104.85,100.41,102.69,49300
2008-02-27,104.67,104.67,101.1,102.09,60333
2008-02-28,100.53,103.02,100.53,103.02,68333
2008-02-29,102.81,103.02,99.3,99.99,86933
2008-03-03,100.41,100.41,97.68,98.4,46766
2008-03-04,98.31,99.15,96.36,97.65,27566
2008-03-05,98.52,99.72,97.98,99.3,12300
2008-03-06,98.25,99.87,96.33,96.33,13566
2008-03-07,96,97.35,94.83,95.85,10466
2008-03-10,96.72,96.72,92.64,93.06,53333
2008-03-11,97.44,97.44,94.44,96.15,40266
2008-03-12,98.91,98.91,95.7,96.66,36433
2008-03-13,96.66,97.29,95.01,96.99,111800
2008-03-14,96.93,96.99,93.33,94.41,35800
2008-03-17,96.27,96.27,90.93,92.94,34066
2008-03-18,97.38,97.41,93.12,94.17,14866
2008-03-19,98.67,98.67,89.55,89.55,25300
2008-03-20,89.49,89.49,85.23,88.29,23566
2008-03-24,87.93,91.35,87.93,89.01,44900
2008-03-25,89.13,94.5,89.13,92.22,20533
2008-03-26,92.22,92.22,90.42,90.75,21300
2008-03-27,90.75,93.27,90.75,91.38,13033
2008-03-28,91.38,91.83,90.69,90.99,4633
2008-03-31,90.18,91.05,88.92,89.43,16333
2008-04-01,89.16,90.93,89.16,90.3,10200
2008-04-02,91.8,91.8,90.03,90.78,12766
2008-04-03,90.99,94.89,90.6,92.67,32300
2008-04-04,92.43,94.65,92.43,93.93,18400
2008-04-07,96.3,96.3,93.69,93.9,17766
2008-04-08,93.6,94.08,93.03,93.03,80233
2008-04-09,95.04,95.04,91.92,92.61,24200
2008-04-10,92.61,94.05,92.46,93.93,13066
2008-04-11,95.31,95.52,92.79,93.15,76000
2008-04-14,94.05,94.05,92.22,92.49,14000
2008-04-15,92.28,93.42,92.13,92.73,16066
2008-04-16,94.17,97.5,94.17,97.5,48033
2008-04-17,100.32,100.32,96,96.45,59433
2008-04-18,97.5,99.75,95.91,95.91,34733
2008-04-21,96,97.95,96,97.29,107600
2008-04-22,96.6,97.17,95.19,95.97,27500
2008-04-23,96.87,96.99,96,96.6,17733
2008-04-24,98.97,98.97,94.8,95.73,41733
2008-04-25,98.07,98.07,95.16,96.36,11333
2008-04-28,99.12,99.12,93.63,96.36,43666
2008-04-29,96.78,96.78,93.33,93.78,47066
2008-04-30,93.48,95.43,93.48,93.99,10300
2008-05-01,93.63,94.44,93.18,93.99,12066
