Symbol: PGX,,,,,Study: VOL (LikeMain)
Date Time,Open,High,Low,Close,Volume
2008-01-31,20.3,20.79,20.26,20.35,91800
2008-02-01,20.35,20.64,20.35,20.61,48800
2008-02-04,20.85,22.64,20.35,20.45,89300
2008-02-05,20.52,20.52,20.23,20.4,15000
2008-02-06,20.32,20.88,20.29,20.88,10800
2008-02-07,20.35,20.74,20.3,20.57,6500
2008-02-08,20.29,20.65,20.25,20.65,14300
2008-02-11,20.22,20.65,20.14,20.15,35200
2008-02-12,20.05,20.75,20,20,15400
2008-02-13,20.01,20.08,20,20.07,5400
2008-02-14,20.52,20.65,20.04,20.4,38300
2008-02-15,20.3,22.22,20.12,20.42,1233500
2008-02-19,21.95,21.95,20.29,20.38,98300
2008-02-20,20.24,22.43,20.01,20.47,79700
2008-02-21,20.19,21,20.1,20.4,40500
2008-02-22,20.09,20.89,20.05,20.61,34100
2008-02-25,20.11,20.62,20.06,20.25,50900
2008-02-26,20.04,20.74,20.04,20.74,51600
2008-02-27,20.6,20.7,19.8,20.36,41000
2008-02-28,20.09,20.66,19.8,20.56,57700
2008-02-29,20.56,20.56,20.04,20.23,109800
2008-03-03,20.81,20.81,19.6,19.91,85100
2008-03-04,19.42,20.23,19.14,20.23,53500
2008-03-05,19.72,19.86,19.36,19.86,56100
2008-03-06,20.44,20.44,19.38,19.62,147900
2008-03-07,20.91,21.39,19.12,19.57,21000
2008-03-10,19.1,19.2,18.47,18.47,54100
2008-03-11,19.47,19.47,18.99,19.23,51100
2008-03-12,19.16,19.95,19.06,19.6,43900
2008-03-13,19.28,19.28,18.88,19.18,28400
2008-03-14,19.6,19.6,18.76,18.86,11700
2008-03-17,19,19.42,17.35,18.2,63200
2008-03-18,19.48,19.48,17.87,18.98,59200
2008-03-19,18.52,18.94,18.15,18.79,42600
2008-03-20,19.16,19.47,18.65,19.47,61400
2008-03-24,19.26,19.47,19.1,19.46,56000
2008-03-25,19.78,19.78,18.95,19.32,47800
2008-03-26,19.41,19.42,19.02,19.26,57400
2008-03-27,19.55,19.55,19.06,19.46,49100
2008-03-28,19.3,19.49,19.06,19.45,42600
2008-03-31,19.4,19.4,19,19.26,51100
2008-04-01,19.25,19.43,19.05,19.3,35400
2008-04-02,19.5,19.5,19.08,19.3,64100
2008-04-03,19.32,19.61,19.2,19.61,60300
2008-04-04,19.5,19.62,19.2,19.52,43700
2008-04-07,19.7,19.7,19.2,19.37,52800
2008-04-08,19.3,19.37,19.16,19.35,38600
2008-04-09,19.34,19.4,19.19,19.39,39800
2008-04-10,19.19,19.39,19.19,19.23,68300
2008-04-11,19.11,19.38,19.11,19.38,47600
2008-04-14,19.27,19.59,19.15,19.27,39100
2008-04-15,19.3,19.45,19.06,19.25,49500
2008-04-16,18.96,19.27,18.96,19.23,24200
2008-04-17,19.23,19.35,19.08,19.33,43100
2008-04-18,19.52,19.8,19.27,19.37,64600
2008-04-21,19.6,19.6,19.2,19.33,46600
2008-04-22,19.24,19.26,19.11,19.18,89200
2008-04-23,19.3,19.3,19.06,19.13,43500
2008-04-24,19.29,19.45,19.09,19.26,51100
2008-04-25,19.49,19.5,19.08,19.41,774000
2008-04-28,19.48,19.48,19.12,19.33,65300
2008-04-29,19.49,19.63,19.3,19.6,133700
2008-04-30,19.7,19.76,19.42,19.58,68000
2008-05-01,19.54,19.57,19.3,19.57,163200
2008-05-02,19.51,20.5,19.32,19.59,84900
2008-05-05,19.6,19.6,19.3,19.45,99500
2008-05-06,19.39,19.54,19.17,19.28,63800
2008-05-07,19.47,19.47,19.18,19.44,81100
2008-05-08,19.62,19.62,19.23,19.4,81700
2008-05-09,19.44,19.52,19.09,19.45,92900
2008-05-12,19.58,19.58,19.25,19.43,157300
2008-05-13,19.39,19.64,19.18,19.35,88100
2008-05-14,19.43,19.43,19.23,19.43,56200
2008-05-15,19.44,19.44,19.09,19.41,74400
2008-05-16,19.27,19.46,19.2,19.46,93800
2008-05-19,19.48,19.55,19.14,19.16,56000
2008-05-20,19.2,19.28,19.01,19.2,95200
2008-05-21,19.3,19.3,19.06,19.08,118300
2008-05-22,19.2,19.2,19.01,19.15,117600
2008-05-23,19.15,19.24,19.02,19.2,102000
2008-05-27,19.25,19.25,19.06,19.19,89000
2008-05-28,19.03,19.12,19.03,19.12,95600
2008-05-29,19.16,19.19,19.08,19.19,72800
2008-05-30,19.2,19.23,19.11,19.23,98500
2008-06-02,19.23,19.4,19.09,19.17,69400
2008-06-03,19.1,19.21,18.94,19.09,95600
2008-06-04,19.15,19.22,18.79,18.88,95200
2008-06-05,19.21,19.36,18.81,18.99,55700
2008-06-06,18.85,18.98,18.76,18.8,83500
2008-06-09,19,19,18.58,18.59,53100
2008-06-10,18.7,18.89,18.32,18.5,69200
2008-06-11,18.43,18.43,18.22,18.28,93000
2008-06-12,18.65,18.65,18.19,18.32,48400
2008-06-13,18.38,18.46,18.05,18.24,91600
2008-06-16,18.04,18.5,18.04,18.48,61200
2008-06-17,18.3,18.46,18.18,18.4,46100
2008-06-18,18.6,18.6,17.89,18.1,62200
2008-06-19,18.25,18.35,17.9,18.08,36600
2008-06-20,18.06,18.06,17.76,17.85,59500
2008-06-23,18.1,18.2,17.55,17.57,65400
2008-06-24,17.51,17.61,17.35,17.54,53000
2008-06-25,17.34,17.83,17.34,17.81,66500
2008-06-26,18.06,18.06,17.26,17.4,64500
2008-06-27,17.18,17.65,17.18,17.31,58600
2008-06-30,17.25,17.36,17.01,17.36,149600
2008-07-01,17.4,17.4,16.8,16.88,61700
2008-07-02,16.64,17.08,16.49,16.94,92900
2008-07-03,17,17.04,16.9,17.03,53600
2008-07-07,16.9,17.09,16.58,16.9,55800
2008-07-08,16.7,16.81,16.51,16.79,94700
2008-07-09,16.93,16.93,16.56,16.77,74900
2008-07-10,16.75,16.75,16.5,16.53,117500
2008-07-11,16.47,16.89,15.6,15.81,118900
2008-07-14,15.63,15.72,14.46,14.71,78200
2008-07-15,14.41,14.41,12.07,13.02,236200
2008-07-16,13.14,14.56,13.14,14.03,311000
2008-07-17,14.9,16,13.88,15.39,103300
2008-07-18,14.15,15.93,14.03,15.93,181700
2008-07-21,16.09,16.44,15.93,16.12,180600
2008-07-22,16.65,16.85,16.02,16.37,319800
2008-07-23,16.75,16.85,16.55,16.84,77900
2008-07-24,16.75,16.85,16.02,16.54,115500
2008-07-25,16.65,16.8,16.16,16.39,65700
2008-07-28,16.7,16.7,15.9,16.34,66700
2008-07-29,16.51,16.51,16.01,16.45,51700
2008-07-30,16.57,16.65,16.32,16.58,70200
2008-07-31,16.85,16.85,16.35,16.63,120500
2008-08-01,16.75,16.75,16.42,16.7,96100
2008-08-04,16.59,16.68,16.38,16.66,45100
2008-08-05,16.7,16.81,16.44,16.75,137700
2008-08-06,16.68,16.78,16.58,16.74,100400
2008-08-07,16.84,16.84,16.55,16.74,111500
2008-08-08,16.91,16.91,16.59,16.73,56200
2008-08-11,16.97,17.05,16.52,16.67,66800
2008-08-12,15.7,16.98,15.7,16.57,545100
2008-08-13,16.9,16.9,16,16.29,94300
2008-08-14,16.09,16.5,16.09,16.44,144300
2008-08-15,16.53,16.53,16.19,16.4,147600
2008-08-18,16.28,16.54,15.89,16.25,181100
2008-08-19,15.99,15.99,15.59,15.65,179600
2008-08-20,15.57,15.74,15.28,15.44,375500
2008-08-21,15.32,15.49,14.98,15.39,1942200
2008-08-22,15,15.53,14.99,15.25,966000
2008-08-25,15.12,15.5,15.1,15.18,63800
2008-08-26,15.5,15.75,15.15,15.65,128000
2008-08-27,15.75,15.99,15.62,15.9,432600
2008-08-28,15.85,16.52,15.85,16.4,178600
2008-08-29,16.29,16.68,16.25,16.55,111100
2008-09-02,16.54,16.67,16.5,16.55,135500
2008-09-03,16.16,16.65,16.16,16.65,113300
2008-09-04,16.65,16.65,16.28,16.41,99800
2008-09-05,16.56,16.59,16.4,16.55,91900
2008-09-08,16.76,16.76,14.38,15.32,218600
2008-09-09,15.2,15.2,14.24,14.5,163400
2008-09-10,14.5,14.6,13.99,14.03,182500
2008-09-11,14.37,14.38,13.05,13.72,158900
2008-09-12,13.7,13.75,13.07,13.7,130900
2008-09-15,12.98,13.5,12.27,12.44,212100
2008-09-16,12.49,14,11.25,11.89,367600
2008-09-17,10.9,11.3,9.18,10.4,523100
2008-09-18,11.11,12.58,10.47,11.75,393000
2008-09-19,13.39,14.99,11.85,13.75,469400
2008-09-22,13.75,14.75,12.13,13.16,206900
2008-09-23,13.15,13.15,12.18,13.11,314500
2008-09-24,13.36,13.36,12.35,12.35,318100
2008-09-25,13.34,13.34,12.13,13.18,321900
2008-09-26,11.87,13.03,11.74,13.03,242700
2008-09-29,11.81,13.35,9.93,11.74,176400
2008-09-30,11.8,12.15,11.08,12.14,302000
2008-10-01,12.14,13.07,11.74,13.06,307800
2008-10-02,12.99,13.06,11.5,12.27,292000
2008-10-03,13.02,13.67,12.1,12.47,381700
2008-10-06,12.01,12.45,11.18,11.99,312900
2008-10-07,13.12,13.12,11.18,11.4,534400
2008-10-08,11.61,11.61,10.63,11.25,612600
2008-10-09,10.97,11.27,9.26,9.99,411700
2008-10-10,9.12,10.34,8,9.47,626600
2008-10-13,10.32,11.65,10.14,11.6,593400
2008-10-14,12.59,13.41,12.05,12.36,644200
2008-10-15,12.46,13,11.53,12.95,268900
2008-10-16,12.15,13.64,11.17,12.25,330000
2008-10-17,12.01,13.02,11.6,12.28,272500
2008-10-20,12.31,12.67,12.05,12.52,257800
2008-10-21,12.42,12.75,12.3,12.61,172700
2008-10-22,12.45,12.78,12.12,12.78,150200
2008-10-23,12.8,12.83,12.16,12.52,153700
2008-10-24,12.17,12.5,11.76,12.25,266200
2008-10-27,12.2,12.73,11.77,12.15,210300
2008-10-28,12.67,12.68,11.85,12.02,314600
2008-10-29,12.36,12.47,11.76,12.47,276400
2008-10-30,12.31,12.6,12.05,12.59,296900
2008-10-31,12.75,13.74,12.2,12.83,465900
2008-11-03,12.88,13.15,12.4,13.15,179400
2008-11-04,13,13.63,12.78,12.9,373200
2008-11-05,13.14,13.25,12.52,12.75,306900
2008-11-06,12.5,12.5,12.22,12.5,546400
2008-11-07,12.55,12.99,12.55,12.74,225300
2008-11-10,13,13.27,12.61,12.77,101500
2008-11-11,12.85,12.97,12.57,12.88,127900
2008-11-12,12.83,12.9,12.26,12.28,119800
2008-11-13,12.53,12.54,11.71,12,241400
2008-11-14,12.25,12.44,11.64,12.15,166300
2008-11-17,12.06,12.15,11.8,11.82,161800
2008-11-18,11.99,11.99,11.5,11.66,184600
2008-11-19,11.6,12.14,10.1,10.59,249300
2008-11-20,10.37,10.54,9.1,9.94,397400
2008-11-21,9.82,9.94,9,9.48,338500
2008-11-24,9.7,10.81,9.24,10.3,1271500
2008-11-25,10.63,11.12,10.5,10.82,306800
2008-11-26,10.97,11.26,10.75,11.26,307300
2008-11-28,11.58,11.58,10.51,11.46,76700
2008-12-01,11.3,11.3,11,11.16,246500
2008-12-02,11.3,11.98,11.02,11.86,204300
2008-12-03,11.31,11.76,11.25,11.41,303300
2008-12-04,11.66,11.66,11.15,11.32,287400
2008-12-05,11.32,11.59,11.16,11.58,222900
2008-12-08,11.35,11.9,11.35,11.89,410700
2008-12-09,12.25,12.25,11.49,11.78,558700
2008-12-10,11.98,11.98,11.54,11.74,425100
2008-12-11,11.8,11.8,11.52,11.63,356600
2008-12-12,11.64,11.65,11.49,11.55,366000
2008-12-15,11.58,11.82,11.09,11.51,362200
2008-12-16,11.59,11.75,11.06,11.71,520800
2008-12-17,11.65,11.82,11.47,11.69,462300
2008-12-18,11.82,11.99,11.49,11.77,714700
2008-12-19,12,12,11.68,11.87,289200
2008-12-22,11.87,11.9,11.46,11.89,385600
2008-12-23,11.91,12,11.61,11.94,432300
2008-12-24,11.56,11.99,11.56,11.91,153800
2008-12-26,11.98,12.19,11.86,12.19,182800
2008-12-29,12.57,12.58,11.91,12.2,375800
2008-12-30,12.24,12.8,12.02,12.77,490700
2008-12-31,12.76,12.76,12.33,12.43,650100
2009-01-02,12.6,13.14,11.76,13.05,532400
2009-01-05,13.19,13.5,13.11,13.3,723400
2009-01-06,13.48,13.9,13.36,13.9,787300
2009-01-07,13.91,13.91,13.4,13.7,637000
2009-01-08,13.67,13.67,13.3,13.53,1023500
2009-01-09,13.7,13.87,13.26,13.72,517800
2009-01-12,13.75,13.75,13.3,13.55,602000
2009-01-13,13.53,13.53,12.81,13.09,744200
2009-01-14,13.21,13.21,12.38,12.74,522600
2009-01-15,12.09,12.89,11.41,11.98,592000
2009-01-16,12.59,12.85,11.57,11.82,562000
2009-01-20,11.59,11.59,10.02,10.71,821300
2009-01-21,10.64,10.84,9.79,10.76,603800
2009-01-22,10.44,10.48,10,10.17,458400
2009-01-23,10.08,10.18,9.8,10.17,498400
2009-01-26,10.28,11.04,10.26,10.46,413300
2009-01-27,10.49,10.79,10.41,10.79,539100
2009-01-28,11.77,11.88,11.01,11.68,654900
2009-01-29,11.6,11.6,11,11.18,349100
2009-01-30,10.85,11.5,10.85,11.07,417900
2009-02-02,10.87,10.96,10.51,10.72,259100
2009-02-03,10.83,10.89,10.11,10.29,464900
2009-02-04,10.33,10.38,9.66,9.82,639600
2009-02-05,9.55,9.98,9.14,9.97,591300
2009-02-06,10.29,10.47,9.79,10.46,627200
2009-02-09,10.57,10.68,10.47,10.65,377200
2009-02-10,10.74,10.74,10.1,10.29,415100
2009-02-11,10.49,10.52,10.24,10.52,217600
2009-02-12,10.4,10.4,10.03,10.32,289300
2009-02-13,10.31,10.31,9.98,10.05,423200
2009-02-17,9.79,9.79,9.02,9.17,436500
2009-02-18,9.3,9.3,8.22,8.42,794100
2009-02-19,8.67,8.67,7.46,7.51,812400
2009-02-20,7.34,7.76,6.5,7.73,1220100
2009-02-23,8.04,8.22,6.85,6.85,811400
2009-02-24,6.86,8.11,6.67,7.74,759300
2009-02-25,7.84,8.34,7.49,8.18,600400
2009-02-26,8.48,8.9,8.37,8.63,581800
2009-02-27,7.76,9.17,7.58,8.3,611000
2009-03-02,8.08,8.09,7.15,7.28,503700
2009-03-03,7.59,7.59,6.92,7.03,544400
2009-03-04,7.48,7.55,7.09,7.46,493900
2009-03-05,7.4,7.4,6.59,6.61,496300
2009-03-06,6.7,6.8,6.09,6.36,468500
2009-03-09,6.16,6.52,6.11,6.4,507300
2009-03-10,6.57,7.52,6.57,7.5,523200
2009-03-11,8.13,8.13,7.44,7.72,675200
2009-03-12,7.84,8.55,7.68,8.52,983300
2009-03-13,8.59,8.78,8.39,8.67,974500
2009-03-16,8.81,9.19,8.72,8.86,934400
2009-03-17,8.85,9.06,8.71,9.04,407000
2009-03-18,9,9.43,8.88,9.38,709900
2009-03-19,9.55,9.73,9.25,9.53,574600
2009-03-20,9.63,9.92,8.96,8.97,387800
2009-03-23,9.38,9.95,9.32,9.89,498000
2009-03-24,9.86,9.99,9.25,9.92,427600
2009-03-25,10.09,10.17,9.68,9.72,567400
2009-03-26,10.03,10.1,9.5,9.66,490200
2009-03-27,9.41,9.79,9.33,9.79,351600
2009-03-30,9.41,9.41,9.16,9.39,227700
2009-03-31,9.57,9.74,9.48,9.72,448900
