Symbol: PID,,,,,Study: VOL (LikeMain)
Date Time,Open,High,Low,Close,Volume
2005-09-15,14.95,14.98,14.94,14.96,249800
2005-09-16,15.09,15.13,15.04,15.13,93900
2005-09-19,15.11,15.11,15.06,15.06,111000
2005-09-20,15.1,15.14,15.02,15.03,181200
2005-09-21,15.04,15.04,14.95,14.95,126000
2005-09-22,14.96,15.02,14.86,14.93,363600
2005-09-23,14.92,15,14.87,14.99,49200
2005-09-26,15.08,15.15,15.03,15.13,199100
2005-09-27,15.1,15.1,15,15.07,85600
2005-09-28,15.15,15.15,15.08,15.12,62500
2005-09-29,15.14,15.22,15.08,15.22,82700
2005-09-30,15.24,15.26,15.15,15.24,127900
2005-10-03,15.26,15.26,15.14,15.21,125900
2005-10-04,15.24,15.24,15.11,15.11,119900
2005-10-05,15.1,15.1,14.88,14.89,83200
2005-10-06,14.9,14.9,14.7,14.81,316900
2005-10-07,14.81,14.83,14.78,14.8,110900
2005-10-10,14.82,14.83,14.76,14.76,74900
2005-10-11,14.7,14.76,14.7,14.74,43000
2005-10-12,14.76,14.76,14.58,14.63,79300
2005-10-13,14.58,14.58,14.38,14.48,109800
2005-10-14,14.51,14.59,14.45,14.59,53400
2005-10-17,14.59,14.59,14.53,14.56,167300
2005-10-18,14.5,14.5,14.39,14.39,71300
2005-10-19,14.27,14.46,14.2,14.46,40600
2005-10-20,14.44,14.44,14.2,14.2,66500
2005-10-21,14.33,14.33,14.19,14.28,65300
2005-10-24,14.36,14.45,14.34,14.42,88400
2005-10-25,14.5,14.56,14.44,14.45,50100
2005-10-26,14.5,14.53,14.4,14.42,49400
2005-10-27,14.36,14.4,14.25,14.27,45800
2005-10-28,14.35,14.35,14.22,14.33,53300
2005-10-31,14.49,14.52,14.44,14.49,51900
2005-11-01,14.54,14.57,14.43,14.55,36300
2005-11-02,14.6,14.67,14.53,14.67,58200
2005-11-03,14.74,14.74,14.62,14.64,55100
2005-11-04,14.67,14.67,14.48,14.56,53900
2005-11-07,14.59,14.59,14.52,14.58,37800
2005-11-08,14.58,14.58,14.48,14.54,56800
2005-11-09,14.52,14.58,14.5,14.58,31700
2005-11-10,14.63,14.68,14.56,14.66,40200
2005-11-11,14.72,14.79,14.66,14.77,23900
2005-11-14,14.83,14.83,14.75,14.8,24600
2005-11-15,14.83,14.85,14.75,14.78,54100
2005-11-16,14.8,14.8,14.7,14.76,30800
2005-11-17,14.85,14.91,14.8,14.91,86000
2005-11-18,14.99,14.99,14.86,14.97,50100
2005-11-21,15.04,15.05,14.97,15.04,41900
2005-11-22,15.03,15.16,14.97,15.16,35300
2005-11-23,15.18,15.28,15.15,15.26,33200
2005-11-25,15.25,15.25,15.2,15.23,23100
2005-11-28,15.23,15.25,15.15,15.18,68500
2005-11-29,15.23,15.23,15.14,15.17,85900
2005-11-30,15.18,15.18,15.07,15.07,32600
2005-12-01,15.04,15.23,15.04,15.23,70000
2005-12-02,15.25,15.25,15.16,15.24,90300
2005-12-05,15.27,15.27,15.16,15.25,51600
2005-12-06,15.31,15.37,15.28,15.28,62500
2005-12-07,15.33,15.33,15.17,15.17,40000
2005-12-08,15.28,15.33,15.21,15.27,45700
2005-12-09,15.3,15.35,15.28,15.29,32000
2005-12-12,15.49,15.49,15.39,15.43,26800
2005-12-13,15.48,15.49,15.38,15.45,43100
2005-12-14,15.48,15.5,15.44,15.44,125700
2005-12-15,15.49,15.49,15.35,15.37,83500
2005-12-16,15.4,15.46,15.35,15.41,82600
2005-12-19,15.43,15.43,15.25,15.25,47600
2005-12-20,15.32,15.32,15.21,15.25,50600
2005-12-21,15.33,15.35,15.27,15.32,75600
2005-12-22,15.43,15.43,15.35,15.39,32800
2005-12-23,15.42,15.45,15.4,15.45,24300
2005-12-27,15.51,15.51,15.35,15.35,54700
2005-12-28,15.45,15.47,15.37,15.41,34800
2005-12-29,15.49,15.49,15.4,15.46,35500
2005-12-30,15.48,15.48,15.3,15.38,37400
2006-01-03,15.58,15.79,15.5,15.78,71900
2006-01-04,15.83,15.92,15.8,15.86,46700
2006-01-05,15.92,15.92,15.73,15.75,88400
2006-01-06,15.7,15.92,15.7,15.92,64100
2006-01-09,15.96,15.96,15.8,15.88,105100
2006-01-10,15.88,15.88,15.74,15.87,67800
2006-01-11,15.96,16.03,15.9,16.01,71200
2006-01-12,15.99,16,15.87,15.93,83500
2006-01-13,16,16,15.9,15.99,82000
