Symbol: QQQ,,,,,Study: VOL (LikeMain)
Date Time,Open,High,Low,Close,Volume
1/3/00,81.3772,81.3772,76.7749,80.1589,85922031
1/4/00,77.8324,79.1014,74.3976,74.6599,79873331
1/5/00,74.0254,75.8232,71.2759,72.7564,100464224
1/6/00,73.4966,74.4484,67.4689,67.7607,87788706
1/7/00,70.1676,76.1404,69.7954,76.1404,66520215
1/10/00,76.9864,79.4737,76.0897,78.2554,70154716
1/11/00,77.6209,78.5727,73.6024,74.4484,76941902
1/12/00,75.2944,75.4974,72.7564,72.8114,68675732
1/13/00,74.8714,77.4094,73.6701,77.1979,59491893
1/14/00,78.6784,79.2072,77.8324,78.9957,51769448
1/18/00,77.8874,79.8967,77.3587,79.4187,39603560
1/19/00,79.093,81.2164,78.1962,81.2164,44931220
1/20/00,80.7934,81.9567,79.5329,80.4254,61366121
1/21/00,81.6394,81.6944,80.4254,81.4279,44203564
1/24/00,82.4347,82.5912,76.961,77.5152,66998194
1/25/00,77.7267,79.6217,75.637,78.6784,78666737
1/26/00,78.8899,78.9449,75.2944,75.5059,54599239
1/27/00,77.6209,78.2554,74.1312,76.6184,72669111
1/28/00,76.1404,76.538,71.6989,72.7564,83483702
1/31/00,72.6506,76.1404,70.6414,75.8782,85140390
2/1/00,75.7428,78.2554,74.8206,77.9128,62452611
2/2/00,78.0439,80.1336,77.9128,78.5727,61865367
2/3/00,79.7909,81.7452,78.0693,81.6394,72292312
2/4/00,82.0624,83.1115,81.4026,82.1936,62978359
2/7/00,82.2739,83.4372,81.4279,83.3315,41987930
2/8/00,84.0717,87.0327,84.0717,86.8212,52007767
2/9/00,86.3475,86.4574,83.5429,83.7545,64439803
2/10/00,84.4439,86.504,83.378,86.504,62272924
2/11/00,86.3475,86.3475,82.9085,84.4947,58808199
2/14/00,84.592,84.6005,82.6969,84.389,53934903
2/15/00,83.7037,85.1292,81.1107,84.9981,72275716
2/16/00,84.5201,86.0302,84.0209,84.6005,59835577
2/17/00,85.6072,87.35,84.2832,86.3982,71111216
2/18/00,86.8212,87.1385,83.2807,83.2807,59742458
2/22/00,83.7545,84.5497,81.4279,83.5429,88004780
2/23/00,84.3297,88.8305,83.8856,88.196,76053468
2/24/00,88.7247,90.3575,86.2925,90.0995,115527010
2/25/00,89.8372,90.9455,87.8787,88.0395,77109728
2/28/00,87.35,89.4142,85.0235,87.9845,90345114
2/29/00,89.465,90.6029,88.7797,90.311,56686686
3/1/00,90.734,91.8465,90.0995,91.0512,57844631
3/2/00,91.4235,91.5292,88.619,88.9447,77397211
3/3/00,91.3685,94.0123,90.5225,93.9615,75690366
3/6/00,94.541,95.7846,93.272,94.7018,55007716
3/7/00,96.288,96.3388,92.003,93.272,93311557
3/8/00,93.9065,94.7525,89.9134,94.118,102866123
3/9/00,94.0926,97.7135,92.2949,97.2905,71161337
3/10/00,97.1848,98.5088,96.03,96.8675,70332031
3/13/00,93.0605,96.5503,92.6629,94.3295,88756505
3/14/00,95.387,95.9158,88.8305,90.8397,92450608
3/15/00,90.0995,90.5225,86.1867,87.0327,121045705
3/16/00,89.1477,92.426,85.4465,92.003,130690073
3/17/00,91.3685,93.9615,91.3177,93.75,74284225
3/20/00,93.9065,94.3295,89.888,91.1062,25020206
3/21/00,89.778,94.7018,87.6122,94.541,39521186
3/22/00,96.0215,98.1111,94.008,96.4445,28806233
3/23/00,96.8506,99.617,96.0723,98.1365,22727308
3/24/00,99.3886,101.9436,97.3074,99.4563,26079054
3/27/00,99.8285,101.0975,99.0841,99.617,13891893
3/28/00,98.9656,99.6678,95.7,97.079,21674000
3/29/00,97.6035,97.6628,93.0605,93.0605,32138715
3/30/00,90.734,95.387,87.5615,90.734,50033646
3/31/00,91.4869,93.585,87.9845,92.6375,37056420
4/3/00,91.1739,92.316,85.235,87.0877,37294485
4/4/00,87.663,87.9337,74.7107,86.2417,78265542
4/5/00,82.4854,87.9337,81.4279,84.702,44481426
4/6/00,86.6055,87.8745,84.389,86.7155,36051683
4/7/00,88.086,90.8355,86.817,90.201,24403534
4/10/00,91.047,91.1062,83.966,84.702,31900765
4/11/00,82.164,85.8695,80.4212,82.6969,40776518
4/12/00,82.587,83.5429,76.3519,77.8324,41163383
4/13/00,78.5177,81.2164,74.4484,74.4484,54763887
4/14/00,72.8072,74.8714,65.9884,67.9934,71927854
4/17/00,66.0053,76.1404,65.9884,75.8189,65482534
4/18/00,75.7005,78.6784,73.9154,77.8324,42861365
4/19/00,78.2554,79.203,75.3452,75.4551,33194285
4/20/00,76.4534,76.961,72.8072,73.8139,25124684
4/24/00,70.5906,72.1219,67.5704,71.6989,36868472
4/25/00,73.1794,76.5634,72.7564,76.538,33880681
4/26/00,76.6649,78.1877,73.7039,73.9154,30364266
4/27/00,71.0644,78.2385,69.5839,77.1979,43747293
4/28/00,79.1522,80.1589,77.9339,80.1589,29347846
5/1/00,81.0049,81.9525,79.7359,80.895,27429745
5/2/00,80.2605,80.895,75.9289,76.2419,24004491
5/3/00,75.7174,76.3519,72.3503,75.3959,31429750
5/4/00,75.2944,76.7749,74.1269,75.5567,20981791
5/5/00,74.5499,78.0947,74.4738,77.3587,24315693
5/8/00,76.5634,76.7749,74.2369,74.3384,16433723
5/9/00,74.8714,75.3959,71.3266,72.7564,23434621
5/10/00,71.3774,71.8935,67.2574,67.4689,41190652
5/11/00,70.0069,72.1219,68.4164,71.5889,29207530
5/12/00,72.2234,74.0762,71.0644,71.5889,21077903
5/15/00,71.7496,74.9729,69.8969,74.7107,21218313
5/16/00,76.1404,77.4094,74.4992,76.8257,28083526
5/17/00,75.5059,76.5634,74.2369,75.2436,24041729
5/18/00,75.2944,75.599,72.2234,72.5449,22532973
5/19/00,70.8529,71.9104,68.7886,69.1101,33307274
5/22/00,69.0509,69.5839,63.941,69.0509,51867090
5/23/00,68.8394,69.8969,62.8158,63.2896,37704879
5/24/00,63.4503,67.5704,61.1238,67.2574,58481920
5/25/00,67.8919,69.5839,64.7193,65.7769,35026618
5/26/00,65.7769,67.0459,64.0848,65.7769,21516653
5/30/00,67.6804,72.7056,67.6804,72.3842,37340670
5/31/00,71.462,73.3232,70.0069,70.3199,35077117
6/1/00,72.0711,74.7614,71.0644,73.9154,34271103
6/2/00,78.3569,79.4737,69.7954,79.203,37443270
6/5/00,78.0439,80.6327,77.7224,79.406,28113675
6/6/00,78.8392,80.3704,76.8764,77.1979,27423617
6/7/00,77.4602,79.5244,75.7682,79.2622,26624432
6/8/00,80.049,80.2605,77.5109,78.8899,22829434
6/9/00,80.1589,80.1589,78.6784,79.3129,20111719
6/12/00,79.7867,79.7867,76.1404,76.7749,19485359
6/13/00,76.5634,80.049,75.599,79.7359,29772783
6/14/00,80.2605,80.2605,77.4094,77.9339,23965014
6/15/00,77.7224,79.4145,76.8764,79.3129,22231330
6/16/00,80.1589,80.6327,78.7292,79.7359,25062994
6/19/00,79.5413,83.12,78.4162,82.9085,23690755
6/20/00,83.12,84.3382,82.2232,82.587,24808722
6/21/00,81.9017,84.3636,81.8002,83.6445,24681419
6/22/00,83.433,83.7545,79.9474,80.5819,25445145
6/23/00,80.3704,80.7934,77.2994,77.4094,29418404
6/26/00,78.7292,79.8797,77.8324,79.5244,26204596
6/27/00,79.3298,80.4212,78.1454,78.5684,17477457
6/28/00,78.6615,80.7934,78.2554,79.5244,22765607
6/29/00,78.6277,78.9915,76.6649,77.5279,25243112
6/30/00,77.6717,79.4821,77.2487,79.0507,17911362
7/3/00,79.1014,80.5819,78.8899,80.5819,6160725
7/5/00,79.203,79.499,76.8764,77.4602,19490432
7/6/00,77.4602,80.1589,76.1912,79.5244,27889576
7/7/00,80.3704,82.0624,79.8967,81.1657,19625421
7/10/00,80.1082,81.1065,79.5244,79.9305,14963752
7/11/00,79.5752,81.0049,78.5177,80.3704,16991167
7/12/00,80.7427,82.6969,80.049,82.2739,21575071
7/13/00,82.8577,84.389,82.164,83.3315,23128348
7/14/00,84.812,85.548,83.5937,85.125,20353786
7/17/00,85.3957,86.3432,84.4905,86.081,15532415
7/18/00,84.9135,85.2603,83.213,84.1775,24449027
7/19/00,83.1707,83.7037,80.9288,82.2739,25801883
7/20/00,82.7985,85.0235,82.2909,84.9135,23074574
7/21/00,83.2807,84.1944,82.0624,82.0624,17034668
7/24/00,82.8577,83.7545,79.7359,80.3704,21961120
7/25/00,80.895,82.0624,79.3637,81.0049,22536177
7/26/00,80.7934,81.318,78.8899,80.895,24017234
7/27/00,79.4737,80.4212,77.4602,77.7224,30900325
7/28/00,77.9932,78.5684,72.7564,73.4924,43126965
7/31/00,74.1269,76.2419,72.5195,75.6667,32635616
8/1/00,75.9797,76.1235,74.1861,74.6599,18619050
8/2/00,74.3384,76.4704,73.1794,73.3401,27870075
8/3/00,71.2759,77.1979,70.4806,76.5127,42404826
8/4/00,77.8324,78.4838,75.3959,76.2419,26339587
8/7/00,76.8764,78.7038,76.3519,78.0439,17852509
8/8/00,77.8832,79.7359,77.4094,79.626,17532164
8/9/00,79.2622,79.8967,77.2994,77.5109,22044573
8/10/00,77.6717,78.027,75.7174,75.9797,18127791
8/11/00,75.5059,77.0795,74.3384,77.0372,24882362
8/14/00,77.2994,78.6784,76.3096,78.6784,14821792
8/15/00,78.4669,79.5075,77.8324,78.6784,16655117
8/16/00,79.0507,80.1082,77.8324,79.4737,18020344
8/17/00,78.6277,81.1065,78.5684,81.0049,17130413
8/18/00,81.1657,81.741,80.1082,80.5819,17383719
8/21/00,81.2164,81.944,79.8375,80.7934,16028407
8/22/00,81.2164,82.367,80.5988,80.7934,17586436
