Symbol: RPV,,,,,Study: VOL (LikeMain)
Date Time,Open,High,Low,Close,Volume
2006-03-07,29.41,29.41,29.39,29.39,1000
2006-03-08,29.3,29.3,29.3,29.3,500
2006-03-09,29.42,29.42,29.32,29.32,1500
2006-03-10,29.59,29.59,29.59,29.59,500
2006-03-13,29.7,29.79,29.7,29.72,35300
2006-03-14,29.69,29.95,29.69,29.95,5500
2006-03-15,30.06,30.06,30.06,30.06,5000
2006-03-16,30.31,30.31,30.31,30.31,300
2006-03-20,30.47,30.47,30.35,30.36,7700
2006-03-21,30.37,30.37,30.18,30.18,15900
2006-03-22,30.29,30.39,30.29,30.39,1200
2006-03-23,30.34,30.34,30.34,30.34,900
2006-03-27,30.37,30.43,30.37,30.43,300
2006-03-29,30.42,30.42,30.42,30.42,2100
2006-03-30,30.28,30.35,29.96,29.96,51500
2006-04-03,30.21,30.42,30.21,30.42,600
2006-04-04,30.3,30.3,30.3,30.3,1600
2006-04-05,30.49,30.49,30.49,30.49,100
2006-04-06,30.5,30.5,30.5,30.5,100
2006-04-07,30.29,30.29,30.19,30.19,800
2006-04-10,30.24,30.24,30.15,30.15,800
2006-04-12,29.93,30,29.93,30,1000
2006-04-13,30.09,30.09,30.04,30.04,600
2006-04-17,30,30,30,30,300
2006-04-18,30.43,30.56,30.43,30.56,900
2006-04-21,30.88,30.88,30.81,30.81,1200
2006-04-25,30.61,30.61,30.61,30.61,1000
2006-04-26,30.83,30.83,30.79,30.79,400
2006-04-27,30.76,31.03,30.55,30.89,11200
2006-04-28,30.86,31.02,30.86,31.02,1300
2006-05-01,30.96,30.96,30.96,30.96,1000
2006-05-02,30.94,31.18,30.94,31.18,2100
2006-05-03,31.05,31.05,31.05,31.05,100
2006-05-04,31.16,31.16,31.12,31.12,1600
2006-05-08,31.59,31.59,31.57,31.57,700
2006-05-09,31.58,31.58,31.55,31.55,1700
2006-05-10,31.62,31.7,31.62,31.65,25600
2006-05-11,31.46,31.46,31.27,31.27,400
2006-05-12,31,31,30.84,30.85,1200
2006-05-15,30.82,30.82,30.82,30.82,1000
2006-05-16,30.9,30.9,30.68,30.68,700
2006-05-17,30.53,30.53,30.15,30.15,2100
2006-05-19,30.17,30.19,30.17,30.19,24200
2006-05-22,30.17,30.17,30.17,30.17,100
2006-05-23,30.25,30.29,29.96,29.96,56400
2006-05-24,29.85,29.93,29.85,29.93,200
2006-05-25,30.03,30.38,30.03,30.38,19900
2006-05-26,30.58,30.65,30.58,30.65,900
2006-05-30,30.28,30.28,30.16,30.16,1200
2006-06-01,30.57,30.93,30.57,30.93,4300
2006-06-02,30.96,30.96,30.79,30.94,3700
2006-06-05,30.76,30.76,30.43,30.43,5500
2006-06-06,30.15,30.28,30.15,30.28,800
2006-06-07,30.48,30.48,30.17,30.17,500
2006-06-08,30.17,30.18,30.05,30.18,2300
2006-06-09,30.18,30.35,30.18,30.2,1600
2006-06-12,30.19,30.19,29.86,29.86,7100
2006-06-13,29.83,29.83,29.42,29.44,45200
2006-06-14,29.48,29.48,29.33,29.33,7500
2006-06-15,29.83,30.21,29.82,30.2,2100
2006-06-16,30.15,30.15,30.15,30.15,2000
2006-06-19,29.97,29.97,29.81,29.81,18600
2006-06-20,29.99,30,29.83,29.83,47600
2006-06-21,30.13,30.22,30.12,30.12,7300
2006-06-22,30.02,30.07,29.94,30.06,3100
2006-06-23,30.05,30.22,30.05,30.05,6400
2006-06-26,30.21,30.24,30.08,30.22,6500
2006-06-27,30.14,30.14,29.93,29.93,1000
2006-06-28,30.07,30.08,29.98,30.08,1200
2006-06-30,30.78,30.83,30.78,30.83,1400
2006-07-03,30.9,30.9,30.9,30.9,100
2006-07-05,30.72,30.72,30.72,30.72,400
2006-07-06,30.74,30.74,30.74,30.74,1300
2006-07-07,30.8,30.8,30.61,30.61,3200
2006-07-10,30.81,30.85,30.75,30.75,8400
2006-07-11,30.7,30.7,30.7,30.7,400
2006-07-12,30.65,30.65,30.57,30.57,52900
2006-07-13,30.29,30.29,30,30.04,15200
2006-07-14,29.81,29.83,29.81,29.83,2100
2006-07-17,29.87,29.87,29.83,29.83,2400
2006-07-18,29.79,29.86,29.76,29.86,19800
2006-07-19,30.24,30.3,30.24,30.3,1800
2006-07-20,30.28,30.28,30.06,30.06,31300
2006-07-21,29.9,29.96,29.83,29.86,2500
2006-07-24,30.27,30.31,30.27,30.31,1300
2006-07-25,30.32,30.57,30.32,30.57,7600
2006-07-26,30.61,30.68,30.61,30.63,1300
2006-07-27,30.49,30.49,30.35,30.35,900
2006-07-28,30.66,30.66,30.62,30.66,30600
2006-07-31,30.6,30.66,30.6,30.64,4700
2006-08-01,30.66,30.66,30.47,30.47,600
2006-08-02,30.67,30.7,30.59,30.62,65900
2006-08-03,30.64,30.86,30.63,30.81,3600
2006-08-04,30.98,30.98,30.76,30.76,1800
2006-08-07,30.65,30.69,30.65,30.69,2000
2006-08-08,30.79,30.79,30.61,30.61,2100
2006-08-09,30.65,30.75,30.36,30.36,3800
2006-08-10,30.32,30.46,30.32,30.46,1400
2006-08-11,30.42,30.42,30.37,30.37,700
2006-08-14,30.45,30.45,30.45,30.45,100
2006-08-15,30.71,30.82,30.71,30.82,1000
2006-08-16,31.03,31.12,30.97,31.12,10100
2006-08-17,31.11,31.18,31.07,31.11,8800
2006-08-18,31.02,31.16,31.02,31.16,4100
2006-08-21,31.04,31.04,31.01,31.03,4600
2006-08-22,31.09,31.09,30.97,31.03,1300
2006-08-23,30.91,30.93,30.84,30.85,2000
2006-08-24,30.86,30.86,30.8,30.8,5000
2006-08-25,30.82,30.85,30.8,30.85,5100
2006-08-28,30.97,31.04,30.97,31.04,3100
2006-08-29,30.93,30.93,30.91,30.93,276600
2006-08-30,31.14,31.14,31.05,31.07,2600
2006-08-31,31.1,31.21,31.1,31.2,2600
2006-09-01,31.2,31.36,31.2,31.36,4100
2006-09-05,31.34,31.42,31.34,31.35,2300
2006-09-06,31.26,31.27,31.14,31.15,12300
2006-09-07,31.02,31.13,31.02,31.03,5400
2006-09-08,31.28,31.28,31.12,31.15,3500
2006-09-11,31.25,31.25,31.11,31.11,63100
2006-09-12,31.4,31.51,31.37,31.51,13700
2006-09-13,31.64,31.71,31.64,31.67,6400
2006-09-14,31.56,31.59,31.55,31.55,2800
2006-09-15,31.42,31.42,31.25,31.27,22900
2006-09-18,31.25,31.29,31.19,31.19,4600
