Symbol: RWJ,,,,,Study: VOL (LikeMain)
Date Time,Open,High,Low,Close,Volume
2008-02-22,8.2433,8.2433,8.1883,8.1883,16800
2008-02-26,8.6283,8.6283,8.6083,8.6083,120000
2008-02-28,8.41,8.41,8.41,8.41,6000
2008-02-29,8.31,8.31,8.23,8.23,2400
2008-03-11,7.845,7.845,7.845,7.845,600
2008-03-12,8.205,8.205,7.99,7.99,4800
2008-03-13,7.7783,7.7783,7.7783,7.7783,1800
2008-03-14,7.8983,7.8983,7.8983,7.8983,1200
2008-03-26,8.3083,8.3233,8.3083,8.3233,60000
2008-03-27,8.2617,8.3433,8.2617,8.3433,90000
2008-03-31,8.2317,8.2317,8.2317,8.2317,2400
2008-04-02,8.4783,8.5583,8.4733,8.5383,6600
2008-04-03,8.4783,8.5167,8.4567,8.5167,36000
2008-04-04,8.535,8.535,8.515,8.515,1200
2008-04-07,8.5417,8.55,8.5417,8.55,12000
2008-04-08,8.4683,8.4683,8.4683,8.4683,600
2008-04-10,8.2583,8.3283,8.2583,8.3283,23400
2008-04-11,8.2067,8.235,8.2067,8.215,9000
2008-04-14,8.1,8.105,8.1,8.105,6000
2008-04-15,8.14,8.14,8.0667,8.1283,6000
2008-04-17,8.28,8.3083,8.275,8.3083,7200
2008-04-21,8.3583,8.3583,8.3583,8.3583,600
2008-04-23,8.2083,8.2083,8.1783,8.1783,52200
2008-04-24,8.1683,8.3417,8.14,8.3417,8400
2008-04-25,8.2217,8.3467,8.2217,8.3467,4200
2008-04-29,8.52,8.52,8.3633,8.3767,6600
2008-04-30,8.3783,8.4083,8.36,8.36,5400
2008-05-01,8.4683,8.4683,8.4683,8.4683,5400
2008-05-02,8.49,8.49,8.415,8.415,6000
2008-05-05,8.3633,8.3633,8.3633,8.3633,1200
2008-05-06,8.3717,8.3717,8.3717,8.3717,600
2008-05-07,8.415,8.415,8.415,8.415,1200
2008-05-09,8.2683,8.2683,8.2567,8.2567,1200
2008-05-12,8.34,8.34,8.3283,8.3283,1200
2008-05-13,8.445,8.445,8.445,8.445,1200
2008-05-15,8.5083,8.5083,8.5083,8.5083,1200
2008-05-16,8.5067,8.5067,8.4833,8.4833,2400
2008-05-19,8.585,8.5933,8.495,8.495,4800
2008-05-20,8.4333,8.4467,8.38,8.4467,41400
2008-05-21,8.515,8.515,8.3333,8.37,71400
2008-05-22,8.3833,8.4483,8.3733,8.4483,70200
2008-05-23,8.3533,8.3533,8.2467,8.3067,134400
2008-05-27,8.4017,8.445,8.3717,8.4433,30000
2008-05-28,8.4267,8.4917,8.4267,8.4917,12000
2008-05-29,8.5183,8.62,8.5183,8.585,6600
2008-05-30,8.5617,8.5767,8.5617,8.5717,31200
2008-06-02,8.475,8.475,8.475,8.475,1200
2008-06-03,8.555,8.555,8.45,8.45,43200
2008-06-04,8.515,8.5733,8.5067,8.5583,28800
2008-06-05,8.69,8.745,8.6883,8.74,17400
2008-06-06,8.5567,8.5567,8.4883,8.4883,8400
2008-06-09,8.4617,8.4733,8.3683,8.3683,15000
2008-06-10,8.3933,8.42,8.3817,8.4167,21000
2008-06-11,8.3417,8.3417,8.3417,8.3417,6600
2008-06-12,8.29,8.315,8.24,8.29,15600
2008-06-13,8.33,8.3483,8.31,8.3467,7800
2008-06-16,8.4567,8.4567,8.4433,8.445,23400
2008-06-17,8.395,8.4233,8.395,8.395,9000
2008-06-18,8.3683,8.3683,8.29,8.325,25800
2008-06-19,8.32,8.3433,8.32,8.3333,15600
2008-06-20,8.345,8.365,8.2067,8.2133,138600
2008-06-23,8.1667,8.1667,8.1667,8.1667,600
2008-06-24,8.0283,8.0283,8.0283,8.0283,600
2008-06-25,8.1833,8.1833,8.1833,8.1833,600
2008-06-26,8.0517,8.0517,7.9433,7.9433,1200
2008-06-27,7.9317,7.9517,7.87,7.9133,69000
2008-06-30,7.8883,7.915,7.825,7.825,46200
2008-07-01,7.7017,7.8133,7.6717,7.7933,11400
2008-07-02,7.7283,7.7333,7.48,7.48,7800
2008-07-03,7.5267,7.5267,7.5267,7.5267,1200
2008-07-08,7.4217,7.4217,7.4217,7.4217,600
2008-07-09,7.625,7.6683,7.625,7.635,18600
2008-07-15,7.4167,7.495,7.3833,7.465,5400
2008-07-16,7.4467,7.4467,7.4467,7.4467,600
2008-07-17,7.8017,7.84,7.8017,7.815,4200
2008-07-18,7.82,7.82,7.7767,7.785,2400
2008-07-21,7.8217,7.8233,7.8167,7.8217,38400
2008-07-22,8.055,8.055,8.055,8.055,1200
2008-07-23,8.1267,8.1417,8.1267,8.1417,16800
2008-07-24,8.0667,8.0667,7.9817,7.9817,28200
2008-07-25,7.95,8.06,7.95,7.9983,163200
2008-07-28,7.8933,7.8933,7.8433,7.85,17400
2008-07-29,8.025,8.11,8.025,8.09,16800
2008-07-30,8.01,8.0783,8.01,8.0783,14400
2008-07-31,8.1017,8.1017,8.055,8.055,25800
2008-08-01,7.965,8.035,7.965,8.0117,10800
2008-08-05,8.11,8.115,8.0967,8.115,3000
2008-08-06,8.13,8.2333,8.13,8.2333,6600
2008-08-07,8.1233,8.13,8.0833,8.0917,9000
2008-08-08,8.3367,8.3417,8.3317,8.3317,16800
2008-08-11,8.4383,8.6167,8.435,8.5933,15000
2008-08-12,8.5783,8.5783,8.505,8.505,64800
2008-08-13,8.5167,8.5683,8.445,8.5317,21600
2008-08-14,8.5083,8.63,8.5083,8.6167,52800
2008-08-15,8.665,8.6667,8.565,8.565,22800
2008-08-18,8.635,8.6467,8.4883,8.4883,60000
2008-08-19,8.5517,8.5517,8.3783,8.3783,46200
2008-08-20,8.3817,8.395,8.3267,8.395,4200
2008-08-21,8.3033,8.3033,8.3033,8.3033,600
2008-08-22,8.44,8.455,8.3967,8.3967,6000
2008-08-25,8.235,8.2817,8.235,8.2483,7200
2008-08-26,8.2833,8.2917,8.2433,8.2433,10800
2008-08-28,8.5,8.5667,8.4983,8.55,21000
2008-08-29,8.5333,8.5333,8.5067,8.5333,8400
2008-09-02,8.585,8.585,8.4867,8.4867,6000
2008-09-03,8.5817,8.6183,8.5567,8.5567,39600
2008-09-04,8.6133,8.6133,8.3917,8.4017,6000
2008-09-05,8.1833,8.1833,8.1833,8.1833,4200
2008-09-08,8.4483,8.54,8.4317,8.54,28200
2008-09-09,8.5967,8.625,8.3133,8.3133,117600
2008-09-10,8.38,8.38,8.38,8.38,1800
2008-09-11,8.335,8.465,8.335,8.465,6000
2008-09-12,8.4017,8.4017,8.4017,8.4017,600
2008-09-15,8.1567,8.1567,8.1567,8.1567,1200
2008-09-16,8.1617,8.2317,8.135,8.135,41400
2008-09-17,8.0483,8.09,7.9433,8.045,29400
2008-09-18,8.0883,8.44,8.01,8.44,12600
2008-09-19,8.7233,8.7233,8.5933,8.7233,39000
2008-09-22,8.6483,8.6483,8.4883,8.4883,3000
2008-09-23,8.4083,8.4083,8.2617,8.2617,7800
2008-09-24,8.1583,8.23,8.1583,8.23,3000
2008-09-25,8.2283,8.3283,8.2283,8.2583,30000
2008-09-26,8.1767,8.24,8.1183,8.24,33000
2008-09-29,7.9733,8.0583,7.9733,8.0583,21000
2008-09-30,7.7767,7.85,7.7767,7.8467,21000
2008-10-01,8.1283,8.1317,7.79,7.815,30600
2008-10-02,7.6867,7.6867,7.41,7.4233,19200
2008-10-03,7.5983,7.6367,7.26,7.26,7800
2008-10-06,6.8717,6.9767,6.7067,6.9767,11400
2008-10-07,7.0083,7.04,6.6883,6.7117,10800
2008-10-08,6.3667,6.67,6.3,6.665,25800
2008-10-09,6.2883,6.4933,5.8933,5.945,106800
2008-10-10,5.4983,5.93,5.4983,5.8767,16200
2008-10-13,6.3583,6.4333,6.3583,6.3933,17400
2008-10-14,6.6667,6.9967,6.4333,6.4333,32400
2008-10-15,6.22,6.22,5.9083,5.9217,13200
2008-10-16,5.8217,5.8217,5.7417,5.7783,2400
2008-10-17,5.995,6.0517,5.875,5.875,30600
2008-10-20,6.0717,6.1567,6.0717,6.1567,66000
