Symbol: RWO,,,,,Study: VOL (LikeMain)
Date Time,Open,High,Low,Close,Volume
2008-05-13,50.35,50.35,50.35,50.35,100
2008-05-14,50.7,50.9,50.7,50.9,1400
2008-05-15,50.8,52.37,50.8,51.35,4100
2008-05-16,52.84,52.84,51.35,51.35,1000
2008-05-19,51.18,51.18,51.18,51.18,100
2008-05-20,50.85,50.85,50.85,50.85,7900
2008-05-21,50.6,50.6,50.23,50.23,1800
2008-05-22,49.9,49.9,49.79,49.79,400
2008-05-23,49.7,49.7,49.7,49.7,100
2008-05-27,49.4,49.4,49.4,49.4,400
2008-05-28,49.65,49.65,49.65,49.65,500
2008-05-30,51.74,51.74,49.84,49.9,400
2008-06-02,49.25,49.25,49.2,49.2,200
2008-06-03,49.2,51.32,49.19,49.19,4700
2008-06-04,51.21,51.21,48.39,48.8,25100
2008-06-05,49.55,49.7,49.27,49.69,6100
2008-06-06,49.52,49.52,48.7,48.7,1800
2008-06-09,48.75,48.75,48,48,3000
2008-06-10,46.85,47,46.85,46.99,1200
2008-06-11,44.34,46.8,44.34,46.8,2200
2008-06-12,46.55,46.65,46.55,46.65,2700
2008-06-13,46.7,46.7,46.65,46.65,15500
2008-06-16,47,47.17,47,47.17,6000
2008-06-17,47.56,47.73,47.32,47.32,500
2008-06-18,46.45,46.45,46.07,46.07,1100
2008-06-19,46.15,47.78,46.15,46.2,1200
2008-06-20,45.24,46.05,45.24,45.6,3500
2008-06-23,45.35,45.79,45,45,46200
2008-06-24,44.82,49.85,43.8,44.5,66000
2008-06-25,45.3,45.3,42.65,44.9,8100
2008-06-26,43.56,44.85,43.56,44.32,2500
2008-06-27,44.12,44.12,43.73,43.82,10800
2008-06-30,43.9,44,43.75,43.75,1500
2008-07-01,43.49,43.49,42.85,43.1,1500
2008-07-02,43.3,43.3,42.93,42.93,800
2008-07-07,41.7,43.17,41.7,42.73,6400
2008-07-08,42.03,43.5,42.02,43.5,11400
2008-07-09,43.57,46.76,42.25,42.25,21000
2008-07-10,42.5,42.5,42.33,42.45,1400
2008-07-11,42.31,42.31,41.23,41.99,4000
2008-07-14,42.49,42.49,41.13,41.13,3800
2008-07-15,40.9,41.25,39.8,40.2,7200
2008-07-16,40.42,42.02,40.1,42.02,14100
2008-07-17,42.51,42.65,42.33,42.65,1100
2008-07-18,43.15,43.15,43,43.15,1200
2008-07-21,43.8,43.8,43.35,43.6,1400
2008-07-22,43.4,43.9,43,43.89,4100
2008-07-23,44.61,45.49,44.61,45.1,4800
2008-07-24,45.42,45.42,43.69,43.69,12500
2008-07-25,43.25,43.8,43.25,43.8,6000
2008-07-28,43.95,43.95,42.91,42.95,12800
2008-07-29,43.5,44.02,43.5,44.02,900
2008-07-30,44.32,44.32,43.7,43.85,3000
2008-07-31,45.66,45.66,43.71,43.71,8300
2008-08-01,45.46,45.46,43.4,43.6,5300
2008-08-04,43.61,43.61,43.3,43.37,1700
2008-08-05,43.7,44.35,43.7,44.35,1600
2008-08-06,44.05,44.56,44,44.56,1800
2008-08-07,44.13,44.13,43.21,43.21,10600
2008-08-08,43.1,44.19,43.02,44.11,4900
2008-08-11,45.45,45.45,44.2,44.84,2200
2008-08-12,44.9,44.9,44,44,4300
2008-08-13,43.66,43.92,43.02,43.5,5900
2008-08-14,42.96,43.41,42.96,43.41,3100
2008-08-15,43.5,44,43.1,43.45,19400
2008-08-18,43.5,45.36,43.3,43.3,41400
2008-08-19,42.89,45,41.59,41.92,22800
2008-08-20,42.27,42.27,41.9,41.9,8100
2008-08-21,42.1,42.1,41.9,41.95,3600
2008-08-22,42.25,42.25,42.22,42.25,2700
2008-08-25,42.6,43.76,41.95,42.05,12100
2008-08-26,41.95,42.2,40.9,42.15,3700
2008-08-27,42.05,42.1,42.05,42.1,3500
2008-08-28,42.6,43.1,42.6,43.1,2200
2008-08-29,43.45,43.55,43.23,43.23,3300
2008-09-02,44.85,44.85,43,43.05,5100
2008-09-03,43.56,43.56,42.64,43.2,3700
2008-09-04,43.25,43.25,42,42,4900
2008-09-05,41.7,42.16,41.26,42.16,65500
2008-09-08,43.5,43.5,43.05,43.3,4800
2008-09-09,43.51,43.51,42.97,42.97,10500
2008-09-10,42.74,43.13,42.7,43.1,5200
2008-09-11,42,42.45,41.81,42.45,12100
2008-09-12,42.91,43.4,42.79,43.4,4100
2008-09-15,41.23,41.9,40.96,40.96,7300
2008-09-16,40.2,41,39.26,40.98,4700
2008-09-17,40.51,40.75,39.37,39.61,37400
2008-09-18,41.41,41.41,38.55,39.5,4200
2008-09-19,42.07,43.3,41.74,42.86,12900
2008-09-22,42.5,44.46,41.57,41.76,19000
2008-09-23,41.23,41.31,40.77,41.05,2600
2008-09-24,40.55,40.9,39.15,39.24,23100
2008-09-25,39.8,40.98,39.8,40.89,2000
2008-09-26,40.35,40.99,40.21,40.29,2000
2008-09-29,40,40.7,39,39.48,19100
2008-09-30,39.7,40.5,39.65,39.75,22200
2008-10-01,40.8,40.8,39.6,40.05,14800
2008-10-02,40.37,40.37,37.75,39.63,17400
2008-10-03,38.8,38.8,36.91,36.91,8900
2008-10-06,36.27,36.27,33.54,34.14,4900
2008-10-07,33.07,35.62,32.55,33.01,10200
2008-10-08,31.9,33.25,31.84,32.35,17200
2008-10-09,32.45,32.45,30.83,30.83,2700
2008-10-10,28,30,27.82,30,5300
2008-10-13,31.4,32.08,31.08,32.08,4300
2008-10-14,33.04,35.35,30.15,30.77,27500
2008-10-15,29.13,34.45,28.53,29.21,17400
2008-10-16,28.76,29.25,28.04,29.25,40500
2008-10-17,29.32,31.05,29.22,29.82,19100
2008-10-20,29.63,30.55,29.3,30.35,3400
2008-10-21,30.35,31.35,29.73,29.77,7600
2008-10-22,27.5,30.49,26.55,26.55,9700
2008-10-23,26.4,33.85,25.28,26.95,16400
2008-10-24,26.5,27.61,25,25.1,11100
2008-10-27,23.55,26.9,23.55,24.7,19000
2008-10-28,24.05,37.28,23.16,25.89,35200
2008-10-29,25.5,32.85,25,26.61,47300
2008-10-30,26.5,28.09,26.5,26.7,5500
2008-10-31,27.18,28.65,23.31,28.56,12100
2008-11-03,28.5,29.74,28.33,28.33,5000
2008-11-04,28.32,28.87,27.26,28.87,16400
2008-11-05,28.46,28.46,26.95,28.11,8400
2008-11-06,27.02,27.49,25.42,25.89,5800
2008-11-07,28,28,25.64,26.56,14100
2008-11-10,28.46,28.46,25.53,26,9000
2008-11-11,24.54,25.17,24.54,24.93,1900
2008-11-12,24.85,25,23.44,23.44,14900
2008-11-13,23.4,25.56,22.4,25.52,39000
2008-11-14,24.7,25.86,23.48,23.48,42500
2008-11-17,22.95,23.34,22.25,22.77,5300
2008-11-18,22.48,22.7,21.69,22.29,22400
2008-11-19,21.18,24.16,20.49,20.6,9700
2008-11-20,20.23,20.23,18.98,18.98,21400
2008-11-21,19.21,19.4,17.8,19.34,41300
2008-11-24,21.14,21.79,19.79,21.79,14300
2008-11-25,22.75,23.31,21.05,22.37,11600
2008-11-26,22.05,23.57,22.05,23.57,20700
2008-11-28,21.81,23.5,21.81,23.5,3200
2008-12-01,22.43,25.29,20.89,20.89,6500
2008-12-02,21.49,22.5,21.49,22.5,13100
2008-12-03,20.8,22.54,20.8,22.54,9700
2008-12-04,21.94,23.6,21.65,21.69,83200
2008-12-05,21.56,23.05,21.05,23.05,21200
2008-12-08,24.55,24.81,23.46,24.81,32200
2008-12-09,24.45,24.49,23.39,23.86,16800
2008-12-10,24.07,25.31,24.07,25.31,22900
2008-12-11,24.68,25,23.03,23.03,26000
2008-12-12,24,24,22.74,23.25,79100
2008-12-15,23.4,24.22,23.29,23.83,23800
2008-12-16,24.81,25.25,23.76,25.25,15800
2008-12-17,25.42,26.64,25.42,26.31,8300
2008-12-18,26.03,26.27,24.91,24.91,10300
2008-12-19,26.44,26.44,24.42,25.29,11300
