Symbol: VAW,,,,,Study: VOL (LikeMain)
Date Time,Open,High,Low,Close,Volume
2004-01-30,48.63,49.22,48.63,49.22,8700
2004-02-02,49.2,49.2,49.05,49.05,1300
2004-02-03,48.9,48.9,48.7,48.7,6900
2004-02-04,48.55,48.6,48.3,48.3,7100
2004-02-05,48.5,48.89,48.5,48.87,20800
2004-02-06,48.92,49.82,48.92,49.82,2800
2004-02-09,50.03,50.18,49.97,49.97,9100
2004-02-10,50,50.39,50,50.11,8100
2004-02-11,50.4,51.34,50.4,51.34,9000
2004-02-12,51.34,51.45,51.29,51.29,3600
2004-02-13,51.43,51.43,50.74,50.74,3100
2004-02-17,51.28,51.45,51.25,51.45,3600
2004-02-18,51.4,51.56,51.2,51.2,7300
2004-02-19,51.5,51.92,51.43,51.49,1300
2004-02-20,51.49,51.49,50.69,50.69,2300
2004-02-23,51.01,51.01,50.81,50.81,900
2004-02-24,51.3,51.3,51,51,6600
2004-02-25,50.95,51.27,50.95,51.27,700
2004-02-26,51.1,51.26,51,51.26,4200
2004-02-27,51.44,51.68,51.44,51.62,3700
2004-03-01,52.08,52.5,52.08,52.48,19600
2004-03-02,52.39,52.45,51.92,51.99,5700
2004-03-03,51.82,51.84,51.44,51.64,1800
2004-03-04,51.89,51.89,51.8,51.8,1000
2004-03-05,51.8,52.09,51.8,52.01,2800
2004-03-08,51.95,51.98,51.45,51.45,6200
2004-03-09,51.45,51.45,50.36,50.4,4700
2004-03-10,50.4,50.4,49.2,49.2,9000
2004-03-11,48.7,49.71,48.7,48.78,4100
2004-03-12,49.35,49.53,49.1,49.44,1700
2004-03-15,49.38,49.38,48.42,48.43,4800
2004-03-16,49.06,49.06,48.67,48.67,800
2004-03-17,49,49.34,49,49.34,1700
2004-03-18,49.12,49.45,49.12,49.45,400
2004-03-19,49.65,49.86,49.5,49.59,2300
2004-03-22,49.4,49.4,48.21,48.26,1600
2004-03-23,48.77,48.97,48.6,48.73,23400
2004-03-24,48.39,48.58,48.14,48.14,61600
2004-03-25,48.73,49.52,48.68,49.52,3000
2004-03-26,49.38,49.7,49.32,49.7,4600
2004-03-29,50.53,50.53,50.32,50.32,2100
2004-03-30,50.59,50.91,50.57,50.91,4400
2004-03-31,50.95,50.95,50.7,50.85,3100
2004-04-01,51.3,51.33,51.11,51.11,2200
2004-04-02,51.75,51.98,51.75,51.88,500
2004-04-05,51.95,51.95,51.56,51.81,4000
2004-04-06,51.89,51.89,51.71,51.85,2400
2004-04-07,51.37,51.54,51.37,51.54,1100
2004-04-12,51.55,51.76,51.55,51.74,2900
2004-04-13,51.89,51.89,51,51.03,2600
2004-04-14,50.72,51.01,50.42,50.42,2600
2004-04-16,51.28,51.34,51.28,51.31,500
2004-04-19,51.51,51.51,51.2,51.41,900
2004-04-20,51.5,51.5,50.79,50.79,1500
2004-04-21,49.94,49.94,49.6,49.9,1800
2004-04-22,50.15,51.57,50.15,51.5,12400
2004-04-23,51.5,51.5,50.91,51.13,800
2004-04-26,51.38,51.38,51.1,51.1,1200
2004-04-27,51.16,51.25,51.16,51.25,400
2004-04-28,51.1,51.1,49.36,49.36,7900
2004-04-29,49.45,49.45,48.5,48.69,2900
2004-04-30,48.82,48.82,48.64,48.69,1200
2004-05-03,48.69,48.69,48.13,48.59,2900
2004-05-04,48.9,48.97,48.89,48.9,500
2004-05-05,49.32,49.32,48.93,48.93,400
2004-05-06,49,49,47.91,48.16,2100
2004-05-07,48.3,48.3,46.77,46.79,3300
2004-05-10,46.12,46.25,45.8,46.25,1200
2004-05-11,46.4,46.9,46.4,46.9,400
2004-05-12,47,47,46.03,46.17,3600
2004-05-13,46.59,46.93,46.59,46.93,1600
2004-05-14,46.88,46.88,46.88,46.88,200
2004-05-17,46.46,46.46,46.46,46.46,100
2004-05-18,46.67,46.67,46.67,46.67,100
2004-05-20,47.18,47.18,47.18,47.18,100
2004-05-21,47.65,47.74,47.49,47.49,5500
2004-05-24,48.18,48.18,47.98,47.98,500
2004-05-25,48.85,48.85,48.85,48.85,400
2004-05-26,49.08,49.23,49.07,49.19,1700
2004-05-27,49.76,49.76,49.64,49.64,1400
2004-05-28,49.52,49.52,49.52,49.52,100
2004-06-01,49.52,49.68,49.45,49.45,700
2004-06-02,49.33,49.65,49.33,49.65,400
2004-06-03,49.38,49.38,48.93,48.93,500
2004-06-04,49.15,49.52,49.15,49.33,1100
2004-06-07,49.93,50.23,49.93,50.23,700
2004-06-08,50.23,50.23,50.05,50.21,300
2004-06-09,50.31,50.31,49.84,49.84,300
2004-06-10,50.03,50.03,49.95,49.95,400
2004-06-14,49.38,49.38,49.31,49.36,1000
2004-06-15,49.74,49.74,49.66,49.73,20300
2004-06-16,49.51,49.96,49.51,49.96,300
2004-06-17,49.98,50.11,49.98,50.11,400
2004-06-18,50.68,50.93,50.68,50.85,2100
2004-06-21,50.69,50.97,50.64,50.97,2200
2004-06-22,50.38,50.88,50.32,50.88,800
2004-06-23,51,51.5,51,51.5,700
2004-06-24,51.5,51.64,51.44,51.44,1300
2004-06-25,51.91,51.91,51.71,51.74,400
2004-06-28,51.9,51.9,51.49,51.49,1600
2004-06-29,51.5,51.69,51.5,51.69,200
2004-06-30,52.1,52.4,52.1,52.4,19700
2004-07-01,52.34,52.34,51.42,51.57,4700
2004-07-02,51.37,51.41,51.11,51.41,1400
2004-07-06,51.31,51.34,50.99,51.05,2300
2004-07-07,51.25,51.66,51.25,51.66,20800
2004-07-08,51.2,51.49,51.14,51.15,1400
2004-07-09,51,51.26,51,51.26,1200
2004-07-12,51.36,51.36,51.36,51.36,100
2004-07-13,51.34,51.34,51.34,51.34,200
2004-07-14,51.53,51.97,51.53,51.97,1600
2004-07-15,51.67,51.84,51.67,51.84,700
2004-07-16,51.91,51.91,51.83,51.83,400
2004-07-19,51.69,51.77,51.41,51.48,22000
2004-07-20,51.2,51.21,51.11,51.21,1700
2004-07-21,51.57,51.65,50.77,50.77,1800
2004-07-22,50.05,50.27,49.67,50.27,2900
2004-07-23,50.09,50.09,49.56,49.89,2000
2004-07-26,49.84,49.84,49.2,49.2,800
2004-07-27,49.47,50.18,49.4,50.15,17700
2004-07-28,49.95,50.63,49.95,50.63,1800
2004-07-29,50.72,51.34,50.7,51.18,2100
2004-07-30,51.19,51.33,51.13,51.27,8600
2004-08-02,50.94,51.49,50.91,51.49,2200
2004-08-03,50.91,51.2,50.91,51.07,900
2004-08-04,50.7,51.24,50.62,51.09,1900
2004-08-05,51.01,51.04,50.28,50.29,2300
2004-08-06,49.51,49.51,48.95,48.95,3100
2004-08-09,49.12,49.39,49.12,49.3,5200
2004-08-10,49.68,49.93,49.66,49.93,1600
2004-08-11,49.79,49.79,49.55,49.77,3000
2004-08-12,49.61,49.61,49.17,49.17,1900
2004-08-13,49.39,49.39,48.97,48.98,1900
2004-08-16,50.18,50.49,50.18,50.29,800
2004-08-17,50.78,50.78,50.68,50.72,2100
2004-08-18,50.65,51.05,50.65,51.05,2300
2004-08-19,51.12,51.39,51.06,51.23,2700
2004-08-20,51.32,51.74,51.32,51.72,1100
2004-08-23,51.65,51.65,51.28,51.3,86400
2004-08-24,51.43,51.57,51.17,51.26,2000
2004-08-25,51.09,51.89,51.05,51.89,5600
2004-08-26,52.17,52.22,52.13,52.22,39800
2004-08-27,52.25,52.42,52.22,52.42,3300
2004-08-30,52.33,52.33,52.09,52.16,1900
2004-08-31,52.03,52.09,51.75,52.09,800
2004-09-01,52.42,52.43,52.3,52.3,1200
2004-09-02,52.62,53.13,52.59,53.05,26400
2004-09-03,52.92,53.09,52.92,53.09,3100
2004-09-07,53.33,53.6,53.25,53.42,57900
2004-09-08,53.35,53.35,52.87,52.87,3100
2004-09-09,53.16,53.16,52.97,53.1,3600
2004-09-10,52.62,52.69,52.56,52.69,2300
2004-09-13,52.83,52.86,52.73,52.73,1200
2004-09-14,52.52,52.62,52.46,52.55,1500
2004-09-15,52.37,52.6,52.33,52.44,4300
2004-09-16,52.58,52.83,52.58,52.7,74800
2004-09-17,52.95,52.95,52.47,52.57,193500
2004-09-20,52.49,52.87,52.43,52.51,4400
2004-09-21,52.83,52.83,52.6,52.82,1100
2004-09-22,52.6,52.6,52.41,52.51,2500
2004-09-23,52.3,52.3,52.1,52.1,1600
2004-09-24,52.4,52.4,52.4,52.4,200
2004-09-27,52.29,52.46,52.17,52.43,2500
2004-09-28,52.69,53.41,52.69,53.4,1800
2004-09-29,53.61,53.91,53.61,53.91,5100
2004-09-30,54.19,54.71,54.19,54.67,3500
2004-10-01,54.91,55.08,54.9,55.08,2400
2004-10-04,55.34,55.35,55.19,55.26,3200
2004-10-05,55.23,55.23,55,55.12,5200
2004-10-06,55.25,55.89,55.25,55.89,2400
2004-10-07,55.92,55.95,55.24,55.24,5400
2004-10-08,55.2,55.44,54.78,54.82,24400
2004-10-11,54.93,54.93,54.82,54.82,300
2004-10-12,54.15,54.23,53.96,54.09,5600
2004-10-13,53.64,53.64,52.59,52.81,5200
2004-10-14,52.86,53.06,52.86,52.92,1000
2004-10-15,53.14,53.5,53.14,53.33,2300
2004-10-18,53.25,53.25,53.04,53.19,700
2004-10-19,53.39,53.39,52.03,52.05,5200
2004-10-20,52.28,52.49,52.16,52.38,10400
2004-10-21,52.29,52.99,52.29,52.99,5600
2004-10-22,53.2,53.35,52.66,52.7,3600
2004-10-25,52.81,53.21,52.81,53.21,7800
2004-10-26,53.11,53.5,53,53.5,1500
2004-10-27,53.75,54.09,53.75,53.98,2800
2004-10-28,53,53.49,53,53.37,2100
2004-10-29,53.93,54.04,53.68,53.96,31500
2004-11-01,54.15,54.2,53.87,54.1,2600
2004-11-02,54.11,54.46,53.92,53.96,4500
2004-11-03,54.9,55.03,54.68,54.85,5400
2004-11-04,55.08,56,54.81,56,2500
2004-11-05,56.4,56.59,56.06,56.25,13100
2004-11-08,56.32,56.36,56.23,56.32,4400
2004-11-09,56.45,56.83,56.45,56.71,4400
2004-11-10,56.83,56.92,56.74,56.74,2800
2004-11-11,56.98,57.31,56.81,57.31,2400
2004-11-12,57.5,57.91,57.31,57.91,7600
2004-11-15,58,58,57.47,57.52,2400
2004-11-16,57.42,57.5,57.15,57.15,2700
2004-11-17,57.96,58.33,57.52,57.67,7900
2004-11-18,57.98,58.1,57.71,57.85,26700
2004-11-19,57.74,57.75,57.32,57.53,8600
2004-11-22,57.47,58.21,57.47,58.18,2100
