Symbol: VDC,,,,,Study: VOL (LikeMain)
Date Time,Open,High,Low,Close,Volume
2004-01-30,50.67,50.72,50.65,50.65,6800
2004-02-02,50.68,50.68,50.68,50.68,200
2004-02-04,50.9,51.38,50.9,51.38,3000
2004-02-05,51.31,51.49,51.31,51.49,600
2004-02-06,51.77,51.92,51.77,51.92,2600
2004-02-09,51.94,52.08,51.94,52.07,4800
2004-02-10,52.01,52.2,52.01,52.2,400
2004-02-11,52.18,52.18,52.06,52.06,6100
2004-02-12,52.24,52.27,52.2,52.27,1500
2004-02-13,52.34,52.36,52.09,52.09,1600
2004-02-17,52.46,52.47,52.46,52.47,700
2004-02-18,52.49,52.52,52.43,52.43,1400
2004-02-19,52.51,52.93,52.51,52.78,4200
2004-02-20,52.81,53.01,52.79,52.95,3800
2004-02-23,52.97,53.27,52.97,53.27,1600
2004-02-24,53.13,53.22,52.75,52.75,3500
2004-02-25,52.89,53.09,52.89,53.09,2800
2004-02-26,52.97,53.24,52.97,53.24,3400
2004-02-27,53.22,53.55,53.22,53.55,2300
2004-03-01,53.5,53.98,53.45,53.98,4900
2004-03-02,53.9,53.9,53.55,53.55,3900
2004-03-03,53.46,53.67,53.46,53.67,1700
2004-03-04,53.7,53.7,53.5,53.6,2500
2004-03-05,53.48,53.76,53.44,53.68,1300
2004-03-08,53.71,53.91,53.69,53.69,4000
2004-03-09,53.47,53.7,53.44,53.68,3500
2004-03-10,53.76,54.1,53.55,53.57,3000
2004-03-11,53.44,53.44,52.62,52.62,5700
2004-03-12,52.62,52.62,52.16,52.54,4600
2004-03-15,52.58,52.58,52,52,3500
2004-03-16,52.32,52.32,51.95,51.95,8100
2004-03-17,52.37,52.71,52.37,52.71,1400
2004-03-18,52.65,52.69,52.36,52.63,3100
2004-03-19,52.5,52.5,52.5,52.5,100
2004-03-22,51.68,51.92,51.68,51.92,1500
2004-03-23,51.76,51.97,51.74,51.9,3000
2004-03-24,51.79,51.88,51.58,51.58,2100
2004-03-25,52.11,52.45,52.04,52.45,3200
2004-03-26,52.35,52.48,52.22,52.22,2200
2004-03-29,52.4,52.88,52.4,52.73,2600
2004-03-30,52.83,53.02,52.83,53.02,1500
2004-03-31,53.01,53.22,53.01,53.22,3100
2004-04-01,53.15,53.23,53.14,53.16,4700
2004-04-02,53.58,53.58,53.14,53.15,5100
2004-04-05,53.25,53.43,53.25,53.43,1300
2004-04-06,53.28,53.59,53.28,53.59,600
2004-04-07,53.49,53.49,53.49,53.49,200
2004-04-08,53.25,53.26,53.25,53.26,200
2004-04-12,53.52,53.52,53.44,53.44,1200
2004-04-13,53.6,53.6,53,53,1100
2004-04-14,52.92,52.92,52.92,52.92,300
2004-04-15,53.4,53.46,53.36,53.45,1600
2004-04-16,53.71,53.77,53.71,53.77,5100
2004-04-19,53.65,53.95,53.65,53.93,3500
2004-04-20,54.02,54.11,54.02,54.11,400
2004-04-21,53.52,53.73,53.52,53.7,2200
2004-04-22,53.58,54.16,53.58,54.16,2200
2004-04-23,53.96,54.3,53.96,54.25,1700
2004-04-26,54.32,54.45,54.28,54.28,1500
2004-04-27,54.28,54.58,54.27,54.33,2700
2004-04-28,54.25,54.25,53.7,53.78,2800
2004-04-29,53.97,53.97,53.87,53.87,1900
2004-04-30,54.17,54.3,53.98,54.13,1400
2004-05-03,54.1,54.36,54.1,54.3,6100
2004-05-04,54.1,54.1,54.06,54.1,600
2004-05-05,54.24,54.31,54.22,54.31,1500
2004-05-06,54.07,54.07,53.88,53.99,1100
2004-05-07,54.07,54.07,53.64,53.68,2000
2004-05-10,53.45,53.45,53.15,53.16,3200
2004-05-11,53.16,53.16,52.94,53.02,28900
2004-05-12,52.86,52.86,52.15,52.78,44400
2004-05-13,52.72,52.72,52.55,52.55,1100
2004-05-14,52.31,52.82,52.31,52.82,4800
2004-05-17,52.54,52.57,52.39,52.53,1700
2004-05-18,52.6,52.76,52.6,52.75,2100
2004-05-19,52.87,52.88,52.57,52.6,7900
2004-05-20,52.4,52.58,52.4,52.58,500
2004-05-21,52.78,52.89,52.5,52.57,22000
2004-05-24,52.8,52.8,52.15,52.15,700
2004-05-25,52.52,52.52,52.52,52.52,100
2004-05-26,53.01,53.15,52.91,53.13,1500
2004-05-27,53.71,53.71,53.54,53.61,3200
2004-05-28,53.72,53.72,53.46,53.55,1300
2004-06-01,53.4,53.49,53.38,53.38,1400
2004-06-02,53.73,53.93,53.64,53.93,2500
2004-06-03,53.97,54.2,53.85,53.85,22900
2004-06-04,54.05,54.1,53.87,53.92,22800
2004-06-07,54.01,54.35,54.01,54.35,3400
2004-06-08,54.3,54.56,54.3,54.56,2400
2004-06-09,54.65,54.65,54.39,54.39,5400
2004-06-10,54.39,54.39,54.3,54.34,2700
2004-06-14,54.09,54.27,54.09,54.12,3800
2004-06-15,54.43,54.43,54.34,54.34,400
2004-06-16,54.38,54.44,54.36,54.44,2000
2004-06-17,54.08,54.29,54.08,54.29,600
2004-06-18,54.14,54.37,54.04,54.04,5100
2004-06-21,54.37,54.38,54.27,54.38,2200
2004-06-22,54,54.41,53.99,54.41,800
2004-06-24,54.47,54.47,54.24,54.24,8400
2004-06-25,54.25,54.25,54.14,54.14,1200
2004-06-28,54.16,54.33,53.95,53.95,3700
2004-06-29,53.99,54.14,53.99,53.99,3000
2004-06-30,54.14,54.16,54.08,54.16,3600
2004-07-01,54.19,54.19,53.72,53.87,8700
2004-07-02,53.84,54.08,53.66,53.7,3600
2004-07-06,53.55,53.71,53.55,53.67,3100
2004-07-07,53.81,53.87,53.72,53.74,3500
2004-07-08,53.61,53.97,53.61,53.67,2800
2004-07-09,53.83,53.83,53.67,53.81,2500
2004-07-12,53.95,53.95,53.56,53.56,3600
2004-07-13,53.8,53.9,53.8,53.89,1500
2004-07-14,54.07,54.07,53.82,53.82,1600
2004-07-15,53.82,53.82,53.68,53.68,1700
2004-07-16,53.78,53.78,53.52,53.56,2900
2004-07-19,53.65,53.65,53.36,53.44,6300
2004-07-20,53.4,53.52,53.4,53.44,4900
2004-07-21,53.39,53.39,52.92,52.92,10500
2004-07-22,52.28,52.33,52.23,52.23,1600
2004-07-23,51.96,52.16,51.63,51.72,10900
2004-07-26,51.56,51.56,51.42,51.55,1700
2004-07-27,51.75,51.94,51.75,51.89,2200
2004-07-28,51.71,51.77,51.31,51.77,3200
2004-07-29,51.8,51.8,51.2,51.33,4900
2004-07-30,51.15,51.37,51.15,51.21,3500
