Symbol: VDE,,,,,Study: VOL (LikeMain)
Date Time,Open,High,Low,Close,Volume
2004-09-29,50.37,50.52,49.97,49.97,900
2004-09-30,50.44,50.44,50.25,50.42,4500
2004-10-01,50.45,51.09,50.45,51.07,6700
2004-10-04,51.1,51.24,51.01,51.12,6800
2004-10-05,51.51,51.75,51.51,51.59,8600
2004-10-06,52.02,52.58,51.98,52.58,14400
2004-10-07,53.05,53.13,52.05,52.09,16500
2004-10-08,52.45,52.45,51.88,52.22,6600
2004-10-11,52.25,52.25,51.41,51.7,10200
2004-10-12,51.85,51.85,51.15,51.2,1000
2004-10-13,50.35,50.35,49.5,49.93,37700
2004-10-14,50.66,50.66,50.4,50.4,3500
2004-10-15,50.99,50.99,50.34,50.47,34600
2004-10-18,50.63,50.63,49.96,49.98,2000
2004-10-19,49.7,49.82,49.7,49.74,400
2004-10-20,49.99,50.72,49.99,50.72,10500
2004-10-21,51.08,51.29,50.85,51.23,14100
2004-10-22,51.1,51.62,51.1,51.23,3800
2004-10-25,51.12,51.18,50.91,51,11600
2004-10-26,51.25,51.58,51.23,51.58,1300
2004-10-27,51.81,51.81,50.44,50.64,34400
2004-10-28,50.03,50.58,49.57,49.74,1900
2004-10-29,49.98,50.35,49.85,50.35,36500
2004-11-01,50.7,50.7,49.93,50.12,10400
2004-11-02,49.75,50.01,49.33,49.33,10400
2004-11-03,50.4,50.61,49.82,50.45,11100
2004-11-04,51.02,51.21,50.92,51.21,4000
2004-11-05,51.4,51.44,51.1,51.39,13600
2004-11-08,51.15,51.3,50.38,50.49,11700
2004-11-09,50.46,50.5,50.13,50.25,31700
2004-11-10,50.23,50.92,49.9,50.85,6800
2004-11-11,50.76,50.84,50.63,50.84,1800
2004-11-12,51.02,51.83,51.02,51.8,14300
2004-11-15,51.8,51.8,50.4,50.6,5700
2004-11-16,50.7,51,50.7,50.75,3200
2004-11-17,51.05,51.43,50.85,51.3,4200
2004-11-18,51.38,51.75,51.38,51.75,3800
2004-11-19,51.75,52.4,51.75,52.3,8700
2004-11-22,52.51,53.09,52.44,53.09,42800
2004-11-23,53.39,53.79,53.39,53.46,3700
2004-11-24,53.7,53.99,53.37,53.99,5200
2004-11-26,54.24,54.59,54.24,54.4,7700
2004-11-29,54.59,54.59,53.53,54.01,16000
2004-11-30,54.27,54.27,54.08,54.14,4300
2004-12-01,54.14,54.14,52.78,52.9,5200
2004-12-02,52.21,52.21,51.03,51.46,16700
2004-12-03,51.47,52,51.38,51.93,1700
2004-12-06,52.06,52.06,51.62,51.71,6800
2004-12-07,51.75,51.75,50.75,50.89,5100
2004-12-08,50.2,51.18,50,51.01,8600
2004-12-09,51.2,51.47,50.88,51.47,7200
2004-12-10,51.5,51.75,51.06,51.24,7500
2004-12-13,51.6,51.89,51.59,51.86,2600
2004-12-14,52.16,52.32,51.91,52.16,12500
2004-12-15,52.51,52.76,52.12,52.76,2400
2004-12-16,52.57,52.57,52.1,52.26,11100
2004-12-17,52.27,52.37,52.08,52.35,6600
2004-12-20,52.58,52.87,52.58,52.8,6700
2004-12-21,52.98,53.31,52.75,53.31,7900
2004-12-22,53.03,53.03,51.85,52.39,3000
2004-12-23,52.6,52.9,52.41,52.9,5100
2004-12-27,52.9,52.9,51.89,51.89,7400
2004-12-28,52.02,52.31,52.02,52.19,4500
2004-12-29,52.11,52.52,52.05,52.52,7700
2004-12-30,52.46,52.46,52.32,52.41,4100
2004-12-31,52.32,52.64,52.21,52.41,2400
2005-01-03,51.98,51.98,50.55,50.55,19700
2005-01-04,50.7,51.04,50.2,50.2,17100
2005-01-05,50.38,50.51,49.88,50.05,49200
2005-01-06,50,51.17,49.84,50.83,11600
2005-01-07,50.64,50.66,50.14,50.38,17300
2005-01-10,50.85,51.29,50.79,50.79,10100
2005-01-11,50.86,50.97,50.44,50.87,10500
2005-01-12,50.82,51.69,50.82,51.67,2500
2005-01-13,51.8,52.4,51.8,52.05,10700
2005-01-14,52.05,52.48,52.04,52.36,15600
2005-01-18,53.08,53.08,52.77,52.77,20200
2005-01-19,53.1,53.26,52.87,52.87,15200
2005-01-20,52.32,52.61,51.95,52.48,4100
2005-01-21,52.77,53.01,52.59,52.68,12000
2005-01-24,52.88,53.22,52.85,52.9,14300
2005-01-25,53.15,53.38,52.82,53.15,8900
2005-01-26,53.38,53.63,53.06,53.63,7800
2005-01-27,53.65,54.34,53.56,54.15,26100
2005-01-28,53.84,53.84,53.44,53.66,32400
2005-01-31,53.65,54.4,53.4,54.37,11000
2005-02-01,54.5,55.23,54.5,55.2,19400
2005-02-02,55.42,56.09,55.42,56.09,31700
2005-02-03,56.09,56.29,55.6,56.29,15400
2005-02-04,56.37,56.6,56.25,56.6,30000
2005-02-07,56.7,56.8,55.79,56.12,23900
2005-02-08,56.05,56.68,55.95,56.68,69800
2005-02-09,56.6,57,56.16,56.44,23000
2005-02-10,56.69,58.02,56.69,57.9,18600
2005-02-11,57.99,58.74,57.7,58.57,37300
2005-02-14,58.65,58.77,58.5,58.66,46900
2005-02-15,58.7,58.84,58.33,58.64,25200
2005-02-16,58.86,60.28,58.8,60.25,30800
2005-02-17,60.38,60.61,59.35,59.51,73700
2005-02-18,59.62,60.95,59.62,60.78,57500
2005-02-22,61.03,61.67,60.31,60.32,148400
2005-02-23,60.45,61.11,60.32,61.08,36400
2005-02-24,61.49,62.25,61.05,62.16,45600
2005-02-25,62.5,63.96,62.5,63.78,66400
2005-02-28,64.44,64.6,62.04,63.37,120700
2005-03-01,63.4,63.45,62,62.09,47900
2005-03-02,62.04,63,62.02,62.95,22500
2005-03-03,63.47,63.95,63.03,63.84,52300
2005-03-04,63.86,64.8,63.58,64.72,30700
2005-03-07,64.6,64.6,63.58,64.25,71600
2005-03-08,64.36,64.65,64,64.03,59100
2005-03-09,64.54,64.87,62.38,62.38,105200
2005-03-10,61.58,61.58,60.45,61.01,82900
2005-03-11,60.96,62.15,60.96,61.54,58000
2005-03-14,61.74,62.07,60.63,61.96,52000
2005-03-15,62.25,62.49,61.1,61.1,53400
2005-03-16,61.07,62.04,60.5,61.36,55600
2005-03-17,62.29,62.39,61.7,62.27,48300
2005-03-18,62.52,63.05,62.41,63.05,50100
2005-03-21,63.2,63.2,62.04,62.6,60200
2005-03-22,62.72,63.53,61.85,61.9,63400
2005-03-23,61.14,61.14,60.13,60.63,69900
2005-03-24,61.43,61.43,60,60.58,224200
2005-03-28,60.62,60.78,60.08,60.61,42600
2005-03-29,60.66,61.24,59.54,59.54,42900
2005-03-30,60,60.34,58.68,60.34,38200
2005-03-31,61.21,61.7,61.21,61.6,79400
2005-04-01,62.41,63.09,62.13,63.07,85800
2005-04-04,63.27,63.63,62.04,62.61,68200
