Symbol: XOP,,,,,Study: VOL (LikeMain)
Date Time,Open,High,Low,Close,Volume
2006-06-22,137.6,138.2,136.44,137.92,11950
2006-06-23,144.4,146,144.4,145.56,725
2006-06-27,149,149,147.52,147.88,3225
2006-06-28,148.16,149.84,148.16,149.84,8975
2006-06-29,151.48,153.96,151.48,153.96,4825
2006-06-30,155.16,156.28,153.72,155.96,13400
2006-07-03,157,158.24,156.68,157.92,1925
2006-07-05,157.8,157.8,154.88,157,3850
2006-07-06,156.72,157.52,155.56,155.6,6850
2006-07-07,158,158,153.8,154.08,4350
2006-07-10,153.52,154.84,153.08,153.84,18075
2006-07-11,154.36,155.76,153.88,155.76,32275
2006-07-12,154.92,155.8,154.04,154.72,25700
2006-07-13,152.36,152.88,152.16,152.36,550
2006-07-14,153.04,153.16,150.28,152.2,13550
2006-07-17,151.96,152.52,148.2,148.2,4975
2006-07-18,150.84,150.84,147.52,149.72,7000
2006-07-19,150.16,150.96,149.28,150,3075
2006-07-20,150.6,150.96,149.08,149.08,8625
2006-07-21,146.88,146.88,145.24,145.48,2675
2006-07-24,150.52,151.08,149.76,151.08,7600
2006-07-25,152.76,152.8,152.6,152.6,1650
2006-07-26,154.08,159.4,154,158.56,2325
2006-07-27,159,159.28,155.2,155.2,2100
2006-07-28,156.56,157,156.4,157,2750
2006-07-31,159.8,159.8,158.76,159.4,1450
2006-08-01,161,161.72,159.32,161.72,1900
2006-08-02,163,164.36,160.88,160.88,3000
2006-08-03,160,161.36,159.2,160.24,2025
2006-08-04,160.6,160.6,158.68,158.96,3400
2006-08-07,160.16,161.44,159.48,160.72,1875
2006-08-08,160.8,162.6,160.8,160.96,1525
2006-08-09,162.52,164.48,161.96,162.48,2325
2006-08-10,161.2,161.72,159.48,160.68,2275
2006-08-11,160.72,161.04,159.2,159.68,1925
2006-08-14,159.04,159.04,154.8,155.48,1525
2006-08-15,156.32,156.96,155.72,156.68,2150
2006-08-16,157.48,158.72,155.8,155.8,2825
2006-08-17,154.12,154.68,153.36,153.92,2475
2006-08-18,155.48,155.6,153.56,155.6,2475
2006-08-21,156.6,156.76,156.4,156.76,700
2006-08-22,157.56,158.16,157.16,157.72,1025
2006-08-23,158.16,158.16,155.08,155.08,1400
2006-08-24,155.68,156.96,155.68,156.96,3825
2006-08-25,161.6,161.84,159.8,160.32,39075
2006-08-28,159.52,159.52,158.04,158.04,600
2006-08-29,156.32,156.84,155.64,156.84,2625
2006-08-30,157.52,157.52,153.4,153.4,2500
2006-08-31,154.84,155.24,154.56,154.56,425
2006-09-01,155.4,156.68,155.4,156.44,13250
2006-09-05,155.84,158.16,155.84,157.96,38600
2006-09-06,156.16,156.16,153.24,153.24,675
2006-09-07,152.4,153.16,151.28,152.44,4825
2006-09-08,151.12,151.12,147.56,147.56,78175
2006-09-11,146.4,146.4,142,142.6,177425
2006-09-12,143,143.76,141,141.6,171000
2006-09-13,143.08,145.12,143.08,144.4,10225
2006-09-14,144.56,144.56,139.8,140,4000
2006-09-15,139.24,140.44,139.12,139.96,1225
2006-09-18,141.96,143.68,141,143.2,1125
2006-09-19,143.44,143.44,139.44,139.96,104075
2006-09-20,139.36,140.36,136.64,136.88,45350
2006-09-21,138.36,140.36,138.24,138.72,52300
2006-09-22,139.24,139.24,136.48,136.64,95850
2006-09-25,134.56,137.24,133.24,136.68,17650
2006-09-26,137,140.52,136.8,140.52,7600
2006-09-27,142.92,143.2,139.4,143.2,74950
2006-09-28,142.32,143.28,141.4,142.08,22750
2006-09-29,141.84,143.04,141.08,142.12,8675
2006-10-02,141.52,142.8,139.76,139.76,5050
2006-10-03,139,139,134.12,134.24,54000
2006-10-04,136.32,136.32,131.6,136.24,15125
2006-10-05,139.2,139.64,137.28,139,42250
2006-10-06,138,139.56,136.72,139.16,18300
2006-10-09,140.88,141.28,138.2,138.48,2875
2006-10-10,138.6,141.6,138.6,141.44,23975
2006-10-11,141.2,141.2,138.84,139.44,9175
2006-10-12,140.6,142.72,140.6,142.56,1150
2006-10-13,144,146.08,143.72,145.2,277675
2006-10-16,146.2,149.44,145.96,149.44,12650
2006-10-17,148.64,148.64,146.24,147.52,5325
2006-10-18,147.4,148.56,146.68,147.2,2875
2006-10-19,149.08,150.72,148,150.72,4200
2006-10-20,150.44,150.44,147.32,148.12,8850
2006-10-23,146.8,148.88,146.48,147.72,3275
2006-10-24,148.56,151.28,148.56,151.28,9775
2006-10-25,150.8,154,150.8,153.84,8225
2006-10-26,155.16,155.16,151.6,152.92,8950
2006-10-27,153.2,154.12,150.84,150.84,7325
2006-10-30,150,150.24,148.64,148.68,20725
2006-10-31,148,150.64,146.68,150.64,16050
2006-11-01,148.88,150.6,147.36,147.92,16100
2006-11-02,147.52,149.44,146.48,148.84,7825
2006-11-03,151.12,152.56,151.12,152.32,13775
2006-11-06,152,152.92,151.48,152.88,3075
2006-11-07,153.2,153.2,150.88,151.16,5100
2006-11-08,150.4,153.76,150.4,153.72,5025
2006-11-09,154.56,156.8,154.44,155.56,12300
2006-11-10,153.88,154.08,152.52,152.92,3500
2006-11-13,151.76,152.88,151.44,152.56,2300
2006-11-14,152.4,153.56,151.88,153.48,6650
2006-11-15,154.08,156.6,154.08,156.48,8000
2006-11-16,157,157,151.6,151.76,27375
2006-11-17,151,155,150.84,154.8,9725
2006-11-20,154.72,154.76,152.92,153.84,1800
2006-11-21,155.04,157.6,155.04,157.4,6050
2006-11-22,157.56,157.56,154.8,156.72,24300
